  Iteration information for myTAO_ solve.
 95 TAO,  Function value: 0.0207535,  Residual: 0.000229883 
 96 TAO,  Function value: 0.0207533,  Residual: 6.01752e-05 
 97 TAO,  Function value: 0.0207532,  Residual: 7.41611e-05 
 98 TAO,  Function value: 0.0207532,  Residual: 2.74573e-06 
 99 TAO,  Function value: 0.0207532,  Residual: 0.000247833 
100 TAO,  Function value: 0.0207532,  Residual: 0.000247827 
101 TAO,  Function value: 0.0207532,  Residual: 2.50566e-06 
102 TAO,  Function value: 0.0207531,  Residual: 7.41332e-05 
103 TAO,  Function value: 0.020753,  Residual: 0.000256799 
104 TAO,  Function value: 0.020753,  Residual: 0.000256743 
105 TAO,  Function value: 0.0207529,  Residual: 1.91996e-06 
106 TAO,  Function value: 0.0207529,  Residual: 3.12082e-05 
107 TAO,  Function value: 0.0207529,  Residual: 7.07298e-06 
108 TAO,  Function value: 0.0207529,  Residual: 0.000251103 
109 TAO,  Function value: 0.0207529,  Residual: 7.57743e-05 
110 TAO,  Function value: 0.0207529,  Residual: 0.000245785 
111 TAO,  Function value: 0.0207528,  Residual: 0.000248207 
112 TAO,  Function value: 0.0207528,  Residual: 0.000225865 
113 TAO,  Function value: 0.0207528,  Residual: 0.000143944 
114 TAO,  Function value: 0.0207528,  Residual: 4.77101e-05 
115 TAO,  Function value: 0.0207528,  Residual: 2.7526e-05 
116 TAO,  Function value: 0.0207528,  Residual: 9.43015e-05 
117 TAO,  Function value: 0.0207528,  Residual: 8.33387e-05 
118 TAO,  Function value: 0.0207528,  Residual: 1.93899e-06 
119 TAO,  Function value: 0.0207528,  Residual: 0.000244833 
120 TAO,  Function value: 0.0207528,  Residual: 0.000244862 
121 TAO,  Function value: 0.0207528,  Residual: 1.49173e-06 
122 TAO,  Function value: 0.0207528,  Residual: 8.31912e-05 
123 TAO,  Function value: 0.0207527,  Residual: 0.000255861 
124 TAO,  Function value: 0.0207527,  Residual: 0.000221911 
125 TAO,  Function value: 0.0207527,  Residual: 8.76675e-05 
126 TAO,  Function value: 0.0207527,  Residual: 8.87707e-05 
127 TAO,  Function value: 0.0207527,  Residual: 8.49523e-05 
128 TAO,  Function value: 0.0207527,  Residual: 8.39063e-05 
129 TAO,  Function value: 0.0207527,  Residual: 2.23612e-06 
130 TAO,  Function value: 0.0207527,  Residual: 0.000244739 
131 TAO,  Function value: 0.0207527,  Residual: 0.000244686 
132 TAO,  Function value: 0.0207527,  Residual: 2.1629e-06 
133 TAO,  Function value: 0.0207527,  Residual: 8.36693e-05 
134 TAO,  Function value: 0.0207526,  Residual: 0.000256977 
135 TAO,  Function value: 0.0207526,  Residual: 0.000256026 
136 TAO,  Function value: 0.0207526,  Residual: 7.79549e-05 
137 TAO,  Function value: 0.0207526,  Residual: 8.78055e-05 
138 TAO,  Function value: 0.0207526,  Residual: 1.69829e-06 
139 TAO,  Function value: 0.0207526,  Residual: 0.000243223 
140 TAO,  Function value: 0.0207526,  Residual: 0.000243219 
141 TAO,  Function value: 0.0207526,  Residual: 0.000243224 
142 TAO,  Function value: 0.0207525,  Residual: 1.78548e-06 
143 TAO,  Function value: 0.0207525,  Residual: 8.77431e-05 
144 TAO,  Function value: 0.0207524,  Residual: 7.11407e-05 
145 TAO,  Function value: 0.0207524,  Residual: 1.61435e-06 
146 TAO,  Function value: 0.0207524,  Residual: 0.000248577 
147 TAO,  Function value: 0.0207524,  Residual: 0.000248574 
148 TAO,  Function value: 0.0207524,  Residual: 1.39194e-06 
149 TAO,  Function value: 0.0207523,  Residual: 7.11222e-05 
150 TAO,  Function value: 0.0207523,  Residual: 0.000247317 
151 TAO,  Function value: 0.0207523,  Residual: 9.56424e-05 
152 TAO,  Function value: 0.0207523,  Residual: 7.92351e-05 
153 TAO,  Function value: 0.0207523,  Residual: 8.19316e-05 
154 TAO,  Function value: 0.0207523,  Residual: 3.89602e-05 
155 TAO,  Function value: 0.0207523,  Residual: 5.69003e-05 
156 TAO,  Function value: 0.0207523,  Residual: 2.18022e-06 
157 TAO,  Function value: 0.0207523,  Residual: 0.00025234 
158 TAO,  Function value: 0.0207522,  Residual: 0.000258486 
159 TAO,  Function value: 0.0207522,  Residual: 0.00025331 
160 TAO,  Function value: 0.0207522,  Residual: 0.000253706 
161 TAO,  Function value: 0.0207522,  Residual: 0.000252513 
162 TAO,  Function value: 0.0207522,  Residual: 1.33049e-06 
163 TAO,  Function value: 0.0207522,  Residual: 1.9589e-05 
164 TAO,  Function value: 0.0207522,  Residual: 1.31182e-06 
165 TAO,  Function value: 0.0207522,  Residual: 0.000257776 
166 TAO,  Function value: 0.0207521,  Residual: 0.000258495 
167 TAO,  Function value: 0.0207521,  Residual: 0.000257765 
168 TAO,  Function value: 0.0207521,  Residual: 1.31115e-05 
169 TAO,  Function value: 0.0207521,  Residual: 2.05241e-06 
170 TAO,  Function value: 0.0207521,  Residual: 0.00025817 
171 TAO,  Function value: 0.0207521,  Residual: 0.000258492 
172 TAO,  Function value: 0.0207521,  Residual: 0.000258155 
173 TAO,  Function value: 0.0207521,  Residual: 0.000258157 
174 TAO,  Function value: 0.020752,  Residual: 1.10175e-06 
175 TAO,  Function value: 0.020752,  Residual: 1.3016e-05 
176 TAO,  Function value: 0.0207519,  Residual: 8.35349e-05 
177 TAO,  Function value: 0.0207519,  Residual: 0.000213189 
178 TAO,  Function value: 0.0207519,  Residual: 4.34689e-05 
179 TAO,  Function value: 0.0207519,  Residual: 3.06427e-06 
180 TAO,  Function value: 0.0207519,  Residual: 0.000254804 
181 TAO,  Function value: 0.0207518,  Residual: 0.000258398 
182 TAO,  Function value: 0.0207518,  Residual: 0.000254911 
183 TAO,  Function value: 0.0207518,  Residual: 0.000254958 
184 TAO,  Function value: 0.0207518,  Residual: 9.55138e-07 
185 TAO,  Function value: 0.0207518,  Residual: 4.20903e-05 
186 TAO,  Function value: 0.0207514,  Residual: 7.87256e-05 
187 TAO,  Function value: 0.0207514,  Residual: 0.000215728 
188 TAO,  Function value: 0.0207513,  Residual: 8.93636e-05 
189 TAO,  Function value: 0.0207512,  Residual: 4.53271e-06 
190 TAO,  Function value: 0.0207512,  Residual: 0.000242898 
191 TAO,  Function value: 0.0207512,  Residual: 0.00024254 
192 TAO,  Function value: 0.0207512,  Residual: 4.49854e-06 
193 TAO,  Function value: 0.0207512,  Residual: 8.8623e-05 
194 TAO,  Function value: 0.0207508,  Residual: 0.000254178 
195 TAO,  Function value: 0.0207508,  Residual: 0.000254104 
196 TAO,  Function value: 0.0207508,  Residual: 0.000254094 
197 TAO,  Function value: 0.0207508,  Residual: 0.000253089 
198 TAO,  Function value: 0.0207508,  Residual: 2.08363e-05 
199 TAO,  Function value: 0.0207508,  Residual: 8.59694e-05 
200 TAO,  Function value: 0.0207508,  Residual: 2.21293e-06 
201 TAO,  Function value: 0.0207508,  Residual: 0.000243424 
202 TAO,  Function value: 0.0207508,  Residual: 1.81488e-06 
203 TAO,  Function value: 0.0207507,  Residual: 1.77027e-06 
204 TAO,  Function value: 0.0207507,  Residual: 1.71355e-06 
205 TAO,  Function value: 0.0207506,  Residual: 0.000258147 
206 TAO,  Function value: 0.0207506,  Residual: 2.22098e-06 
207 TAO,  Function value: 0.0207506,  Residual: 2.29223e-06 
208 TAO,  Function value: 0.0207504,  Residual: 5.53458e-06 
209 TAO,  Function value: 0.0207504,  Residual: 1.59057e-06 
210 TAO,  Function value: 0.0207504,  Residual: 0.000258067 
211 TAO,  Function value: 0.0207502,  Residual: 5.46776e-06 
212 TAO,  Function value: 0.02075,  Residual: 0.000258015 
213 TAO,  Function value: 0.0207495,  Residual: 0.000257995 
214 TAO,  Function value: 0.0207489,  Residual: 0.000257567 
215 TAO,  Function value: 0.0207486,  Residual: 0.000244862 
216 TAO,  Function value: 0.0207486,  Residual: 1.45213e-05 
217 TAO,  Function value: 0.0207486,  Residual: 5.69645e-06 
218 TAO,  Function value: 0.0207485,  Residual: 0.000257631 
219 TAO,  Function value: 0.0207483,  Residual: 0.000257912 
220 TAO,  Function value: 0.0207482,  Residual: 0.000257471 
221 TAO,  Function value: 0.020748,  Residual: 1.73776e-05 
222 TAO,  Function value: 0.020748,  Residual: 0.000257649 
223 TAO,  Function value: 0.020748,  Residual: 1.59073e-05 
224 TAO,  Function value: 0.020748,  Residual: 1.92082e-05 
225 TAO,  Function value: 0.020748,  Residual: 1.4533e-05 
226 TAO,  Function value: 0.0207479,  Residual: 0.000257347 
227 TAO,  Function value: 0.0207479,  Residual: 2.88053e-06 
228 TAO,  Function value: 0.0207478,  Residual: 1.70576e-05 
229 TAO,  Function value: 0.0207478,  Residual: 0.000257352 
230 TAO,  Function value: 0.0207477,  Residual: 0.000257267 
231 TAO,  Function value: 0.0207477,  Residual: 0.000241269 
232 TAO,  Function value: 0.0207477,  Residual: 8.11341e-05 
233 TAO,  Function value: 0.0207477,  Residual: 0.000102453 
234 TAO,  Function value: 0.0207477,  Residual: 8.46228e-05 
235 TAO,  Function value: 0.0207477,  Residual: 7.52823e-05 
236 TAO,  Function value: 0.0207477,  Residual: 2.45202e-05 
237 TAO,  Function value: 0.0207477,  Residual: 5.59445e-06 
238 TAO,  Function value: 0.0207477,  Residual: 0.000256785 
239 TAO,  Function value: 0.0207477,  Residual: 2.54338e-06 
240 TAO,  Function value: 0.0207477,  Residual: 2.40297e-05 
241 TAO,  Function value: 0.0207475,  Residual: 0.0002242 
242 TAO,  Function value: 0.0207475,  Residual: 0.000224185 
243 TAO,  Function value: 0.0207475,  Residual: 3.6306e-06 
244 TAO,  Function value: 0.0207475,  Residual: 0.000127531 
245 TAO,  Function value: 0.0207474,  Residual: 0.000127506 
246 TAO,  Function value: 0.0207474,  Residual: 2.1547e-06 
247 TAO,  Function value: 0.0207474,  Residual: 0.000224167 
248 TAO,  Function value: 0.0207473,  Residual: 0.000224165 
249 TAO,  Function value: 0.0207473,  Residual: 1.76709e-06 
250 TAO,  Function value: 0.0207473,  Residual: 0.000127487 
251 TAO,  Function value: 0.0207472,  Residual: 0.000257569 
252 TAO,  Function value: 0.0207472,  Residual: 0.000257722 
253 TAO,  Function value: 0.0207472,  Residual: 0.000257851 
254 TAO,  Function value: 0.0207471,  Residual: 0.00012725 
255 TAO,  Function value: 0.0207471,  Residual: 0.000124896 
256 TAO,  Function value: 0.0207471,  Residual: 1.92271e-05 
257 TAO,  Function value: 0.0207471,  Residual: 5.16963e-05 
258 TAO,  Function value: 0.0207471,  Residual: 9.14114e-05 
259 TAO,  Function value: 0.0207471,  Residual: 0.00021596 
260 TAO,  Function value: 0.0207471,  Residual: 0.000210152 
261 TAO,  Function value: 0.0207471,  Residual: 0.00021097 
262 TAO,  Function value: 0.0207471,  Residual: 2.7825e-06 
263 TAO,  Function value: 0.0207471,  Residual: 0.000148389 
264 TAO,  Function value: 0.020747,  Residual: 0.000257824 
265 TAO,  Function value: 0.020747,  Residual: 0.000256543 
266 TAO,  Function value: 0.0207469,  Residual: 1.53394e-06 
267 TAO,  Function value: 0.0207469,  Residual: 2.60873e-05 
