  Iteration information for myTAO_ solve.
  0 TAO,  Function value: 0.0295502,  Residual: 0.000521766 
  1 TAO,  Function value: 0.0294216,  Residual: 0.000465885 
  2 TAO,  Function value: 0.0284667,  Residual: 0.000230211 
  3 TAO,  Function value: 0.0277709,  Residual: 0.000170886 
  4 TAO,  Function value: 0.0262621,  Residual: 0.000130701 
  5 TAO,  Function value: 0.0246122,  Residual: 0.000179227 
  6 TAO,  Function value: 0.024104,  Residual: 0.000277454 
  7 TAO,  Function value: 0.023376,  Residual: 0.000115944 
  8 TAO,  Function value: 0.023061,  Residual: 8.84504e-05 
  9 TAO,  Function value: 0.0227912,  Residual: 8.82908e-05 
 10 TAO,  Function value: 0.0225565,  Residual: 6.91515e-05 
 11 TAO,  Function value: 0.0223653,  Residual: 6.79007e-05 
 12 TAO,  Function value: 0.0222259,  Residual: 7.03817e-05 
 13 TAO,  Function value: 0.0220317,  Residual: 5.82857e-05 
 14 TAO,  Function value: 0.0219121,  Residual: 0.000128591 
 15 TAO,  Function value: 0.0218327,  Residual: 8.89817e-05 
 16 TAO,  Function value: 0.0217673,  Residual: 7.05523e-05 
 17 TAO,  Function value: 0.021767,  Residual: 7.13387e-05 
 18 TAO,  Function value: 0.0217573,  Residual: 7.14026e-05 
 19 TAO,  Function value: 0.0216044,  Residual: 6.11192e-05 
 20 TAO,  Function value: 0.0214891,  Residual: 7.33946e-05 
 21 TAO,  Function value: 0.0213937,  Residual: 5.97746e-05 
 22 TAO,  Function value: 0.021316,  Residual: 9.02461e-05 
 23 TAO,  Function value: 0.0212283,  Residual: 4.43217e-05 
 24 TAO,  Function value: 0.0211958,  Residual: 5.30766e-05 
 25 TAO,  Function value: 0.0211287,  Residual: 3.1819e-05 
 26 TAO,  Function value: 0.0210779,  Residual: 2.57071e-05 
 27 TAO,  Function value: 0.0210179,  Residual: 2.46947e-05 
 28 TAO,  Function value: 0.0210031,  Residual: 2.51917e-05 
 29 TAO,  Function value: 0.0210006,  Residual: 2.19e-05 
 30 TAO,  Function value: 0.0209876,  Residual: 2.06455e-05 
 31 TAO,  Function value: 0.0209495,  Residual: 1.46886e-05 
 32 TAO,  Function value: 0.0209235,  Residual: 2.7105e-05 
 33 TAO,  Function value: 0.0209141,  Residual: 1.87498e-05 
 34 TAO,  Function value: 0.0208975,  Residual: 1.52018e-05 
 35 TAO,  Function value: 0.0208782,  Residual: 7.07099e-05 
 36 TAO,  Function value: 0.0208686,  Residual: 2.71154e-05 
 37 TAO,  Function value: 0.0208609,  Residual: 2.89924e-05 
 38 TAO,  Function value: 0.0208504,  Residual: 2.61401e-05 
 39 TAO,  Function value: 0.0208288,  Residual: 2.08666e-05 
 40 TAO,  Function value: 0.0208004,  Residual: 2.63278e-05 
 41 TAO,  Function value: 0.0207891,  Residual: 1.65356e-05 
 42 TAO,  Function value: 0.0207805,  Residual: 1.36955e-05 
 43 TAO,  Function value: 0.0207706,  Residual: 7.91292e-06 
 44 TAO,  Function value: 0.0207625,  Residual: 7.76649e-06 
 45 TAO,  Function value: 0.020758,  Residual: 7.43928e-06 
 46 TAO,  Function value: 0.0207536,  Residual: 5.84613e-06 
 47 TAO,  Function value: 0.02075,  Residual: 4.93688e-06 
 48 TAO,  Function value: 0.0207469,  Residual: 4.69916e-06 
 49 TAO,  Function value: 0.0207442,  Residual: 5.96553e-06 
 50 TAO,  Function value: 0.0207414,  Residual: 5.5674e-06 
 51 TAO,  Function value: 0.0207386,  Residual: 5.50338e-06 
 52 TAO,  Function value: 0.0207358,  Residual: 7.51822e-06 
 53 TAO,  Function value: 0.0207332,  Residual: 8.02397e-06 
 54 TAO,  Function value: 0.0207327,  Residual: 8.75536e-06 
 55 TAO,  Function value: 0.0207314,  Residual: 8.91532e-06 
 56 TAO,  Function value: 0.0207295,  Residual: 8.27023e-06 
 57 TAO,  Function value: 0.0207267,  Residual: 9.22191e-06 
 58 TAO,  Function value: 0.0207223,  Residual: 7.21919e-06 
 59 TAO,  Function value: 0.020718,  Residual: 5.50949e-06 
 60 TAO,  Function value: 0.0207142,  Residual: 5.92459e-06 
 61 TAO,  Function value: 0.0207118,  Residual: 7.175e-06 
 62 TAO,  Function value: 0.0207114,  Residual: 7.3268e-06 
 63 TAO,  Function value: 0.0207081,  Residual: 6.59701e-06 
 64 TAO,  Function value: 0.0207035,  Residual: 6.99579e-06 
 65 TAO,  Function value: 0.0207024,  Residual: 8.94977e-06 
 66 TAO,  Function value: 0.0207023,  Residual: 8.68068e-06 
 67 TAO,  Function value: 0.0207005,  Residual: 7.85646e-06 
 68 TAO,  Function value: 0.0206967,  Residual: 6.0767e-06 
 69 TAO,  Function value: 0.0206923,  Residual: 6.24041e-06 
 70 TAO,  Function value: 0.0206879,  Residual: 5.65338e-06 
 71 TAO,  Function value: 0.0206842,  Residual: 5.21665e-06 
 72 TAO,  Function value: 0.0206816,  Residual: 5.70122e-06 
 73 TAO,  Function value: 0.0206804,  Residual: 6.80634e-06 
 74 TAO,  Function value: 0.0206804,  Residual: 6.80225e-06 
 75 TAO,  Function value: 0.0206789,  Residual: 5.97532e-06 
 76 TAO,  Function value: 0.020676,  Residual: 5.11451e-06 
 77 TAO,  Function value: 0.020673,  Residual: 6.07977e-06 
 78 TAO,  Function value: 0.0206711,  Residual: 7.09066e-06 
 79 TAO,  Function value: 0.0206695,  Residual: 7.10318e-06 
 80 TAO,  Function value: 0.020668,  Residual: 6.91116e-06 
 81 TAO,  Function value: 0.0206667,  Residual: 7.28276e-06 
 82 TAO,  Function value: 0.0206663,  Residual: 6.9577e-06 
 83 TAO,  Function value: 0.0206637,  Residual: 5.29564e-06 
 84 TAO,  Function value: 0.0206604,  Residual: 3.77577e-06 
 85 TAO,  Function value: 0.0206582,  Residual: 4.8987e-06 
 86 TAO,  Function value: 0.0206563,  Residual: 5.26991e-06 
 87 TAO,  Function value: 0.0206546,  Residual: 5.16703e-06 
 88 TAO,  Function value: 0.020653,  Residual: 5.6435e-06 
 89 TAO,  Function value: 0.020653,  Residual: 6.87219e-06 
 90 TAO,  Function value: 0.020653,  Residual: 6.86571e-06 
 91 TAO,  Function value: 0.020652,  Residual: 6.51822e-06 
 92 TAO,  Function value: 0.0206496,  Residual: 4.71579e-06 
 93 TAO,  Function value: 0.0206472,  Residual: 3.3756e-06 
 94 TAO,  Function value: 0.0206453,  Residual: 3.00404e-06 
 95 TAO,  Function value: 0.0206437,  Residual: 3.16425e-06 
 96 TAO,  Function value: 0.0206429,  Residual: 3.38366e-06 
 97 TAO,  Function value: 0.0206424,  Residual: 3.43949e-06 
 98 TAO,  Function value: 0.0206421,  Residual: 3.5786e-06 
 99 TAO,  Function value: 0.0206415,  Residual: 3.8758e-06 
100 TAO,  Function value: 0.0206407,  Residual: 3.85725e-06 
101 TAO,  Function value: 0.0206403,  Residual: 3.73647e-06 
102 TAO,  Function value: 0.02064,  Residual: 3.633e-06 
103 TAO,  Function value: 0.0206396,  Residual: 3.50349e-06 
104 TAO,  Function value: 0.020639,  Residual: 2.9922e-06 
105 TAO,  Function value: 0.0206379,  Residual: 2.17036e-06 
106 TAO,  Function value: 0.020637,  Residual: 2.17412e-06 
107 TAO,  Function value: 0.0206366,  Residual: 2.9936e-06 
108 TAO,  Function value: 0.0206361,  Residual: 2.93825e-06 
109 TAO,  Function value: 0.0206354,  Residual: 3.293e-06 
110 TAO,  Function value: 0.0206346,  Residual: 3.77544e-06 
111 TAO,  Function value: 0.0206338,  Residual: 3.74521e-06 
112 TAO,  Function value: 0.0206338,  Residual: 4.24604e-06 
113 TAO,  Function value: 0.0206337,  Residual: 4.10569e-06 
