  Iteration information for myTAO_ solve.
  0 TAO,  Function value: 0.0292969,  Residual: 0.000667356 
  1 TAO,  Function value: 0.0290916,  Residual: 0.000572507 
  2 TAO,  Function value: 0.0279434,  Residual: 0.00030066 
  3 TAO,  Function value: 0.0269535,  Residual: 0.000228411 
  4 TAO,  Function value: 0.0249596,  Residual: 0.000195821 
  5 TAO,  Function value: 0.0240491,  Residual: 0.000209762 
  6 TAO,  Function value: 0.0239598,  Residual: 0.000725116 
  7 TAO,  Function value: 0.0231094,  Residual: 0.000187019 
  8 TAO,  Function value: 0.0229297,  Residual: 0.000138637 
  9 TAO,  Function value: 0.0226909,  Residual: 0.000119275 
 10 TAO,  Function value: 0.022552,  Residual: 0.000105421 
 11 TAO,  Function value: 0.0224512,  Residual: 0.000176115 
 12 TAO,  Function value: 0.0222849,  Residual: 0.000111935 
 13 TAO,  Function value: 0.0221353,  Residual: 0.000105167 
 14 TAO,  Function value: 0.0219671,  Residual: 0.000137211 
 15 TAO,  Function value: 0.0218469,  Residual: 0.000106964 
 16 TAO,  Function value: 0.0217707,  Residual: 9.8839e-05 
 17 TAO,  Function value: 0.0216655,  Residual: 9.34816e-05 
 18 TAO,  Function value: 0.0215468,  Residual: 9.12562e-05 
 19 TAO,  Function value: 0.0214459,  Residual: 7.8869e-05 
 20 TAO,  Function value: 0.0213811,  Residual: 6.65232e-05 
 21 TAO,  Function value: 0.0212837,  Residual: 5.67424e-05 
 22 TAO,  Function value: 0.0211394,  Residual: 6.08693e-05 
 23 TAO,  Function value: 0.0211215,  Residual: 4.72008e-05 
 24 TAO,  Function value: 0.0210929,  Residual: 4.55284e-05 
 25 TAO,  Function value: 0.0210567,  Residual: 3.65091e-05 
 26 TAO,  Function value: 0.021029,  Residual: 2.93639e-05 
 27 TAO,  Function value: 0.0210124,  Residual: 2.82841e-05 
 28 TAO,  Function value: 0.0209839,  Residual: 2.00908e-05 
 29 TAO,  Function value: 0.0209728,  Residual: 1.67073e-05 
 30 TAO,  Function value: 0.0209675,  Residual: 1.43045e-05 
 31 TAO,  Function value: 0.0209603,  Residual: 1.06504e-05 
 32 TAO,  Function value: 0.0209554,  Residual: 1.32339e-05 
 33 TAO,  Function value: 0.0209495,  Residual: 8.88113e-06 
 34 TAO,  Function value: 0.0209454,  Residual: 8.49395e-06 
 35 TAO,  Function value: 0.0209406,  Residual: 1.1886e-05 
 36 TAO,  Function value: 0.0209343,  Residual: 1.76018e-05 
 37 TAO,  Function value: 0.0209324,  Residual: 3.97685e-05 
 38 TAO,  Function value: 0.0209272,  Residual: 1.73663e-05 
 39 TAO,  Function value: 0.0209229,  Residual: 1.6047e-05 
 40 TAO,  Function value: 0.0209148,  Residual: 2.72558e-05 
 41 TAO,  Function value: 0.0209111,  Residual: 2.03885e-05 
 42 TAO,  Function value: 0.0209,  Residual: 1.24507e-05 
 43 TAO,  Function value: 0.0208899,  Residual: 1.17672e-05 
 44 TAO,  Function value: 0.020886,  Residual: 1.36628e-05 
 45 TAO,  Function value: 0.0208857,  Residual: 1.36388e-05 
 46 TAO,  Function value: 0.0208819,  Residual: 1.31849e-05 
 47 TAO,  Function value: 0.020873,  Residual: 1.44391e-05 
 48 TAO,  Function value: 0.0208631,  Residual: 2.6697e-05 
 49 TAO,  Function value: 0.02086,  Residual: 2.91196e-05 
 50 TAO,  Function value: 0.0208599,  Residual: 2.74156e-05 
 51 TAO,  Function value: 0.0208584,  Residual: 2.68191e-05 
 52 TAO,  Function value: 0.0208541,  Residual: 0.000288349 
 53 TAO,  Function value: 0.0208429,  Residual: 0.000286461 
 54 TAO,  Function value: 0.0208386,  Residual: 0.000284961 
 55 TAO,  Function value: 0.0208357,  Residual: 4.80012e-05 
 56 TAO,  Function value: 0.0208355,  Residual: 7.2947e-05 
 57 TAO,  Function value: 0.0208354,  Residual: 1.67687e-05 
 58 TAO,  Function value: 0.0208351,  Residual: 5.70095e-05 
 59 TAO,  Function value: 0.0208334,  Residual: 6.59365e-05 
 60 TAO,  Function value: 0.0208307,  Residual: 7.73645e-05 
 61 TAO,  Function value: 0.0208302,  Residual: 5.96141e-05 
 62 TAO,  Function value: 0.0208295,  Residual: 4.54117e-05 
 63 TAO,  Function value: 0.0208293,  Residual: 3.87498e-05 
 64 TAO,  Function value: 0.0208288,  Residual: 2.13435e-05 
 65 TAO,  Function value: 0.0208284,  Residual: 6.2566e-05 
 66 TAO,  Function value: 0.0208277,  Residual: 3.79963e-05 
 67 TAO,  Function value: 0.0208277,  Residual: 3.82102e-05 
 68 TAO,  Function value: 0.0208264,  Residual: 1.47233e-05 
 69 TAO,  Function value: 0.0208253,  Residual: 2.15633e-05 
 70 TAO,  Function value: 0.0208233,  Residual: 4.94318e-05 
 71 TAO,  Function value: 0.0208228,  Residual: 3.19909e-05 
 72 TAO,  Function value: 0.0208223,  Residual: 1.33995e-05 
 73 TAO,  Function value: 0.0208222,  Residual: 1.25782e-05 
 74 TAO,  Function value: 0.0208216,  Residual: 1.00876e-05 
 75 TAO,  Function value: 0.0208202,  Residual: 7.19019e-06 
 76 TAO,  Function value: 0.0208197,  Residual: 6.97102e-06 
 77 TAO,  Function value: 0.0208186,  Residual: 4.38376e-06 
 78 TAO,  Function value: 0.0208176,  Residual: 3.21258e-06 
 79 TAO,  Function value: 0.0208168,  Residual: 4.59373e-06 
 80 TAO,  Function value: 0.0208162,  Residual: 4.22985e-06 
 81 TAO,  Function value: 0.0208154,  Residual: 3.14727e-06 
 82 TAO,  Function value: 0.0208144,  Residual: 5.03394e-06 
 83 TAO,  Function value: 0.0208136,  Residual: 6.63326e-06 
 84 TAO,  Function value: 0.020813,  Residual: 7.11865e-06 
 85 TAO,  Function value: 0.0208118,  Residual: 7.30517e-06 
 86 TAO,  Function value: 0.0208111,  Residual: 7.66993e-06 
 87 TAO,  Function value: 0.0208108,  Residual: 7.70758e-06 
 88 TAO,  Function value: 0.0208108,  Residual: 7.51151e-06 
 89 TAO,  Function value: 0.0208095,  Residual: 5.52157e-06 
 90 TAO,  Function value: 0.0208075,  Residual: 4.24787e-06 
 91 TAO,  Function value: 0.0208075,  Residual: 4.89982e-06 
 92 TAO,  Function value: 0.0208069,  Residual: 4.75144e-06 
 93 TAO,  Function value: 0.020806,  Residual: 3.44236e-06 
 94 TAO,  Function value: 0.0208053,  Residual: 5.79692e-06 
 95 TAO,  Function value: 0.0208039,  Residual: 4.29075e-06 
 96 TAO,  Function value: 0.0208027,  Residual: 5.80905e-06 
 97 TAO,  Function value: 0.0208012,  Residual: 5.73321e-06 
 98 TAO,  Function value: 0.0208011,  Residual: 8.41907e-06 
 99 TAO,  Function value: 0.0208001,  Residual: 8.05208e-06 
100 TAO,  Function value: 0.0207983,  Residual: 4.57218e-06 
101 TAO,  Function value: 0.0207974,  Residual: 5.23477e-06 
102 TAO,  Function value: 0.0207966,  Residual: 5.48977e-06 
103 TAO,  Function value: 0.0207961,  Residual: 8.34025e-06 
104 TAO,  Function value: 0.0207958,  Residual: 7.98794e-06 
105 TAO,  Function value: 0.0207958,  Residual: 7.88288e-06 
106 TAO,  Function value: 0.0207956,  Residual: 7.56987e-06 
107 TAO,  Function value: 0.0207937,  Residual: 6.50399e-06 
108 TAO,  Function value: 0.0207933,  Residual: 6.0144e-06 
109 TAO,  Function value: 0.0207915,  Residual: 3.13014e-06 
110 TAO,  Function value: 0.0207907,  Residual: 2.72097e-06 
111 TAO,  Function value: 0.0207902,  Residual: 2.84411e-06 
112 TAO,  Function value: 0.0207897,  Residual: 2.4976e-06 
113 TAO,  Function value: 0.0207892,  Residual: 2.15185e-06 
114 TAO,  Function value: 0.020789,  Residual: 1.97342e-06 
115 TAO,  Function value: 0.0207888,  Residual: 1.54464e-06 
116 TAO,  Function value: 0.0207886,  Residual: 1.76603e-06 
117 TAO,  Function value: 0.0207884,  Residual: 1.65439e-06 
118 TAO,  Function value: 0.0207884,  Residual: 1.69018e-06 
119 TAO,  Function value: 0.0207882,  Residual: 1.61176e-06 
120 TAO,  Function value: 0.0207881,  Residual: 1.25609e-06 
121 TAO,  Function value: 0.0207879,  Residual: 1.92046e-06 
122 TAO,  Function value: 0.0207879,  Residual: 2.51503e-06 
123 TAO,  Function value: 0.0207879,  Residual: 2.23349e-06 
124 TAO,  Function value: 0.0207879,  Residual: 2.35298e-06 
125 TAO,  Function value: 0.0207877,  Residual: 2.24867e-06 
126 TAO,  Function value: 0.0207877,  Residual: 2.29381e-06 
127 TAO,  Function value: 0.0207876,  Residual: 1.8406e-06 
128 TAO,  Function value: 0.0207873,  Residual: 1.38778e-06 
129 TAO,  Function value: 0.0207872,  Residual: 1.95437e-06 
130 TAO,  Function value: 0.0207871,  Residual: 1.51083e-06 
131 TAO,  Function value: 0.020787,  Residual: 1.07522e-06 
132 TAO,  Function value: 0.0207869,  Residual: 1.07747e-06 
133 TAO,  Function value: 0.0207868,  Residual: 1.45651e-06 
134 TAO,  Function value: 0.0207868,  Residual: 7.38364e-07 
135 TAO,  Function value: 0.0207868,  Residual: 7.21785e-07 
136 TAO,  Function value: 0.0207867,  Residual: 2.04279e-06 
137 TAO,  Function value: 0.0207866,  Residual: 1.54378e-06 
138 TAO,  Function value: 0.0207864,  Residual: 1.81344e-06 
139 TAO,  Function value: 0.0207862,  Residual: 2.21697e-06 
140 TAO,  Function value: 0.020786,  Residual: 2.38258e-06 
141 TAO,  Function value: 0.0207859,  Residual: 2.213e-06 
142 TAO,  Function value: 0.0207859,  Residual: 2.18284e-06 
143 TAO,  Function value: 0.0207858,  Residual: 1.92515e-06 
144 TAO,  Function value: 0.0207856,  Residual: 1.98818e-06 
145 TAO,  Function value: 0.0207854,  Residual: 1.44238e-06 
146 TAO,  Function value: 0.0207853,  Residual: 1.08868e-06 
147 TAO,  Function value: 0.0207852,  Residual: 1.00254e-06 
148 TAO,  Function value: 0.0207851,  Residual: 1.06653e-06 
149 TAO,  Function value: 0.020785,  Residual: 1.33368e-06 
150 TAO,  Function value: 0.0207849,  Residual: 1.59253e-06 
151 TAO,  Function value: 0.0207847,  Residual: 1.61884e-06 
152 TAO,  Function value: 0.0207845,  Residual: 2.08063e-06 
153 TAO,  Function value: 0.0207843,  Residual: 3.26788e-06 
154 TAO,  Function value: 0.0207843,  Residual: 3.33707e-06 
155 TAO,  Function value: 0.0207839,  Residual: 2.52972e-06 
156 TAO,  Function value: 0.0207839,  Residual: 0.00028461 
157 TAO,  Function value: 0.0207836,  Residual: 4.34492e-06 
158 TAO,  Function value: 0.0207836,  Residual: 2.75069e-06 
159 TAO,  Function value: 0.0207836,  Residual: 2.60297e-06 
160 TAO,  Function value: 0.0207835,  Residual: 0.000284603 
161 TAO,  Function value: 0.0207834,  Residual: 2.65473e-06 
162 TAO,  Function value: 0.0207833,  Residual: 0.000284593 
163 TAO,  Function value: 0.0207833,  Residual: 0.000284576 
164 TAO,  Function value: 0.0207832,  Residual: 5.34057e-05 
165 TAO,  Function value: 0.020783,  Residual: 3.04456e-05 
166 TAO,  Function value: 0.020783,  Residual: 1.09901e-05 
167 TAO,  Function value: 0.0207829,  Residual: 5.69966e-06 
168 TAO,  Function value: 0.0207828,  Residual: 1.14099e-05 
169 TAO,  Function value: 0.0207828,  Residual: 3.91236e-06 
170 TAO,  Function value: 0.0207824,  Residual: 2.7428e-06 
171 TAO,  Function value: 0.0207821,  Residual: 3.26038e-06 
172 TAO,  Function value: 0.0207818,  Residual: 9.61612e-06 
173 TAO,  Function value: 0.0207815,  Residual: 3.72475e-06 
174 TAO,  Function value: 0.0207814,  Residual: 3.00937e-06 
175 TAO,  Function value: 0.0207814,  Residual: 2.85354e-06 
176 TAO,  Function value: 0.0207813,  Residual: 0.000284797 
177 TAO,  Function value: 0.0207813,  Residual: 0.000284807 
178 TAO,  Function value: 0.0207811,  Residual: 9.58758e-06 
179 TAO,  Function value: 0.020781,  Residual: 0.000284642 
180 TAO,  Function value: 0.020781,  Residual: 0.000281898 
181 TAO,  Function value: 0.020781,  Residual: 2.63119e-06 
182 TAO,  Function value: 0.020781,  Residual: 2.37868e-06 
183 TAO,  Function value: 0.020781,  Residual: 3.55109e-05 
184 TAO,  Function value: 0.0207809,  Residual: 5.60595e-06 
185 TAO,  Function value: 0.0207809,  Residual: 3.50684e-05 
186 TAO,  Function value: 0.0207809,  Residual: 2.47115e-06 
187 TAO,  Function value: 0.0207809,  Residual: 1.21093e-05 
188 TAO,  Function value: 0.0207809,  Residual: 8.63875e-06 
189 TAO,  Function value: 0.0207808,  Residual: 3.54239e-05 
190 TAO,  Function value: 0.0207808,  Residual: 3.53509e-05 
191 TAO,  Function value: 0.0207808,  Residual: 3.54067e-05 
192 TAO,  Function value: 0.0207807,  Residual: 1.43944e-05 
193 TAO,  Function value: 0.0207805,  Residual: 3.03659e-06 
194 TAO,  Function value: 0.0207803,  Residual: 6.92334e-06 
195 TAO,  Function value: 0.0207801,  Residual: 2.9764e-06 
196 TAO,  Function value: 0.0207798,  Residual: 6.33951e-06 
197 TAO,  Function value: 0.0207796,  Residual: 3.09158e-06 
198 TAO,  Function value: 0.0207795,  Residual: 2.56715e-06 
199 TAO,  Function value: 0.0207795,  Residual: 2.75231e-06 
200 TAO,  Function value: 0.0207794,  Residual: 3.40588e-06 
201 TAO,  Function value: 0.0207793,  Residual: 3.87649e-06 
202 TAO,  Function value: 0.0207791,  Residual: 3.96618e-06 
203 TAO,  Function value: 0.0207789,  Residual: 4.27554e-06 
204 TAO,  Function value: 0.0207788,  Residual: 4.92547e-06 
205 TAO,  Function value: 0.0207786,  Residual: 4.45515e-06 
206 TAO,  Function value: 0.0207786,  Residual: 4.32907e-06 
207 TAO,  Function value: 0.0207785,  Residual: 4.22635e-06 
208 TAO,  Function value: 0.0207785,  Residual: 4.36274e-06 
209 TAO,  Function value: 0.0207784,  Residual: 4.12933e-06 
210 TAO,  Function value: 0.0207784,  Residual: 4.09168e-06 
211 TAO,  Function value: 0.0207784,  Residual: 4.08444e-06 
212 TAO,  Function value: 0.0207783,  Residual: 4.14992e-06 
213 TAO,  Function value: 0.0207782,  Residual: 4.59218e-06 
214 TAO,  Function value: 0.0207781,  Residual: 4.6669e-06 
215 TAO,  Function value: 0.0207778,  Residual: 4.83931e-06 
216 TAO,  Function value: 0.0207776,  Residual: 5.78673e-06 
217 TAO,  Function value: 0.0207773,  Residual: 4.92436e-06 
218 TAO,  Function value: 0.0207772,  Residual: 4.7514e-06 
219 TAO,  Function value: 0.0207771,  Residual: 4.76114e-06 
220 TAO,  Function value: 0.020777,  Residual: 5.21785e-06 
221 TAO,  Function value: 0.0207768,  Residual: 5.08644e-06 
222 TAO,  Function value: 0.0207767,  Residual: 5.09419e-06 
223 TAO,  Function value: 0.0207766,  Residual: 5.49869e-06 
224 TAO,  Function value: 0.0207765,  Residual: 5.26207e-06 
225 TAO,  Function value: 0.0207764,  Residual: 4.7552e-06 
226 TAO,  Function value: 0.0207762,  Residual: 4.49985e-06 
227 TAO,  Function value: 0.020776,  Residual: 4.29896e-06 
228 TAO,  Function value: 0.0207759,  Residual: 4.98852e-06 
229 TAO,  Function value: 0.0207757,  Residual: 4.13318e-06 
230 TAO,  Function value: 0.0207757,  Residual: 4.0638e-06 
231 TAO,  Function value: 0.0207755,  Residual: 4.04563e-06 
232 TAO,  Function value: 0.0207754,  Residual: 4.04986e-06 
233 TAO,  Function value: 0.0207752,  Residual: 3.48102e-06 
234 TAO,  Function value: 0.0207751,  Residual: 3.15649e-06 
235 TAO,  Function value: 0.020775,  Residual: 2.90678e-06 
236 TAO,  Function value: 0.0207749,  Residual: 3.1026e-06 
237 TAO,  Function value: 0.0207748,  Residual: 2.76064e-06 
238 TAO,  Function value: 0.0207748,  Residual: 2.64511e-06 
239 TAO,  Function value: 0.0207747,  Residual: 2.49366e-06 
240 TAO,  Function value: 0.0207746,  Residual: 2.54059e-06 
241 TAO,  Function value: 0.0207746,  Residual: 2.32907e-06 
242 TAO,  Function value: 0.0207746,  Residual: 2.25757e-06 
243 TAO,  Function value: 0.0207746,  Residual: 2.21275e-06 
244 TAO,  Function value: 0.0207745,  Residual: 2.16934e-06 
245 TAO,  Function value: 0.0207745,  Residual: 2.11705e-06 
246 TAO,  Function value: 0.0207745,  Residual: 2.10347e-06 
247 TAO,  Function value: 0.0207745,  Residual: 2.10778e-06 
248 TAO,  Function value: 0.0207745,  Residual: 2.12273e-06 
249 TAO,  Function value: 0.0207744,  Residual: 1.99273e-06 
250 TAO,  Function value: 0.0207743,  Residual: 1.68333e-06 
251 TAO,  Function value: 0.0207743,  Residual: 1.66583e-06 
252 TAO,  Function value: 0.0207742,  Residual: 1.31407e-06 
253 TAO,  Function value: 0.0207742,  Residual: 1.15916e-06 
254 TAO,  Function value: 0.0207742,  Residual: 1.12651e-06 
255 TAO,  Function value: 0.0207742,  Residual: 1.14563e-06 
256 TAO,  Function value: 0.0207741,  Residual: 9.76621e-07 
257 TAO,  Function value: 0.0207741,  Residual: 9.48754e-07 
258 TAO,  Function value: 0.0207741,  Residual: 9.36665e-07 
259 TAO,  Function value: 0.0207741,  Residual: 1.07116e-06 
260 TAO,  Function value: 0.0207741,  Residual: 9.26679e-07 
261 TAO,  Function value: 0.0207741,  Residual: 9.09804e-07 
262 TAO,  Function value: 0.0207741,  Residual: 9.27077e-07 
263 TAO,  Function value: 0.0207741,  Residual: 1.01003e-06 
264 TAO,  Function value: 0.0207741,  Residual: 9.50366e-07 
265 TAO,  Function value: 0.0207741,  Residual: 9.26189e-07 
266 TAO,  Function value: 0.0207741,  Residual: 8.941e-07 
267 TAO,  Function value: 0.0207741,  Residual: 8.64462e-07 
268 TAO,  Function value: 0.0207741,  Residual: 9.13413e-07 
269 TAO,  Function value: 0.0207741,  Residual: 8.17031e-07 
270 TAO,  Function value: 0.0207741,  Residual: 8.36132e-07 
271 TAO,  Function value: 0.0207741,  Residual: 9.66933e-07 
272 TAO,  Function value: 0.0207741,  Residual: 1.30671e-06 
273 TAO,  Function value: 0.0207741,  Residual: 1.33436e-06 
274 TAO,  Function value: 0.020774,  Residual: 1.53137e-06 
275 TAO,  Function value: 0.020774,  Residual: 2.42734e-06 
276 TAO,  Function value: 0.020774,  Residual: 2.82978e-06 
277 TAO,  Function value: 0.020774,  Residual: 3.08079e-06 
278 TAO,  Function value: 0.020774,  Residual: 3.1156e-06 
279 TAO,  Function value: 0.0207738,  Residual: 3.43146e-06 
280 TAO,  Function value: 0.0207738,  Residual: 3.41765e-06 
281 TAO,  Function value: 0.0207736,  Residual: 2.62721e-06 
282 TAO,  Function value: 0.0207734,  Residual: 2.29676e-06 
283 TAO,  Function value: 0.0207733,  Residual: 1.86003e-06 
284 TAO,  Function value: 0.0207732,  Residual: 1.63349e-06 
285 TAO,  Function value: 0.0207731,  Residual: 1.43123e-06 
286 TAO,  Function value: 0.0207731,  Residual: 1.44196e-06 
287 TAO,  Function value: 0.0207731,  Residual: 1.30299e-06 
288 TAO,  Function value: 0.020773,  Residual: 1.13468e-06 
289 TAO,  Function value: 0.020773,  Residual: 1.01227e-06 
290 TAO,  Function value: 0.020773,  Residual: 9.96756e-07 
291 TAO,  Function value: 0.020773,  Residual: 9.77394e-07 
292 TAO,  Function value: 0.020773,  Residual: 9.80307e-07 
293 TAO,  Function value: 0.020773,  Residual: 9.59362e-07 
294 TAO,  Function value: 0.020773,  Residual: 9.57203e-07 
295 TAO,  Function value: 0.020773,  Residual: 9.62426e-07 
296 TAO,  Function value: 0.020773,  Residual: 9.79991e-07 
297 TAO,  Function value: 0.020773,  Residual: 1.06697e-06 
298 TAO,  Function value: 0.020773,  Residual: 9.38184e-07 
299 TAO,  Function value: 0.020773,  Residual: 8.78429e-07 
300 TAO,  Function value: 0.0207729,  Residual: 7.85718e-07 
301 TAO,  Function value: 0.0207729,  Residual: 7.53176e-07 
302 TAO,  Function value: 0.0207729,  Residual: 6.05993e-07 
303 TAO,  Function value: 0.0207729,  Residual: 5.29132e-07 
304 TAO,  Function value: 0.0207729,  Residual: 5.31531e-07 
305 TAO,  Function value: 0.0207729,  Residual: 5.10558e-07 
306 TAO,  Function value: 0.0207729,  Residual: 5.15632e-07 
307 TAO,  Function value: 0.0207729,  Residual: 5.38807e-07 
308 TAO,  Function value: 0.0207729,  Residual: 4.93765e-07 
309 TAO,  Function value: 0.0207729,  Residual: 4.80503e-07 
310 TAO,  Function value: 0.0207729,  Residual: 4.60164e-07 
311 TAO,  Function value: 0.0207729,  Residual: 4.75354e-07 
312 TAO,  Function value: 0.0207729,  Residual: 4.66693e-07 
313 TAO,  Function value: 0.0207729,  Residual: 4.77731e-07 
314 TAO,  Function value: 0.0207729,  Residual: 5.01421e-07 
315 TAO,  Function value: 0.0207729,  Residual: 5.7164e-07 
316 TAO,  Function value: 0.0207729,  Residual: 5.62847e-07 
317 TAO,  Function value: 0.0207729,  Residual: 5.29169e-07 
318 TAO,  Function value: 0.0207729,  Residual: 5.16405e-07 
319 TAO,  Function value: 0.0207729,  Residual: 5.36021e-07 
320 TAO,  Function value: 0.0207729,  Residual: 5.06497e-07 
321 TAO,  Function value: 0.0207729,  Residual: 5.08012e-07 
322 TAO,  Function value: 0.0207729,  Residual: 5.29054e-07 
323 TAO,  Function value: 0.0207729,  Residual: 5.66905e-07 
