  Iteration information for myTAO_ solve.
  0 TAO,  Function value: 0.0296254,  Residual: 0.000589011 
  1 TAO,  Function value: 0.029464,  Residual: 0.000512278 
  2 TAO,  Function value: 0.028578,  Residual: 0.00025735 
  3 TAO,  Function value: 0.0279106,  Residual: 0.000184207 
  4 TAO,  Function value: 0.0265971,  Residual: 0.000132962 
  5 TAO,  Function value: 0.0249736,  Residual: 0.000138212 
  6 TAO,  Function value: 0.0241609,  Residual: 0.000151447 
  7 TAO,  Function value: 0.02369,  Residual: 0.000243582 
  8 TAO,  Function value: 0.0231098,  Residual: 9.6219e-05 
  9 TAO,  Function value: 0.0229259,  Residual: 8.31245e-05 
 10 TAO,  Function value: 0.0226833,  Residual: 0.000104412 
 11 TAO,  Function value: 0.022457,  Residual: 7.26599e-05 
 12 TAO,  Function value: 0.0223104,  Residual: 7.55238e-05 
 13 TAO,  Function value: 0.022135,  Residual: 8.877e-05 
 14 TAO,  Function value: 0.0219113,  Residual: 6.25638e-05 
 15 TAO,  Function value: 0.0217627,  Residual: 6.64035e-05 
 16 TAO,  Function value: 0.0215851,  Residual: 6.48718e-05 
 17 TAO,  Function value: 0.0214571,  Residual: 7.51389e-05 
 18 TAO,  Function value: 0.0213955,  Residual: 6.76342e-05 
 19 TAO,  Function value: 0.0212933,  Residual: 6.02782e-05 
 20 TAO,  Function value: 0.0211807,  Residual: 5.69481e-05 
 21 TAO,  Function value: 0.0210463,  Residual: 4.61528e-05 
 22 TAO,  Function value: 0.0209477,  Residual: 4.08367e-05 
 23 TAO,  Function value: 0.0208535,  Residual: 3.21218e-05 
 24 TAO,  Function value: 0.0207903,  Residual: 2.22118e-05 
 25 TAO,  Function value: 0.0207693,  Residual: 2.13188e-05 
 26 TAO,  Function value: 0.0207515,  Residual: 1.62731e-05 
 27 TAO,  Function value: 0.0207339,  Residual: 1.3132e-05 
 28 TAO,  Function value: 0.020714,  Residual: 1.02024e-05 
 29 TAO,  Function value: 0.0207018,  Residual: 1.03301e-05 
 30 TAO,  Function value: 0.020692,  Residual: 8.84372e-06 
 31 TAO,  Function value: 0.0206839,  Residual: 9.24587e-06 
 32 TAO,  Function value: 0.0206766,  Residual: 8.7937e-06 
 33 TAO,  Function value: 0.0206744,  Residual: 9.8152e-06 
 34 TAO,  Function value: 0.0206721,  Residual: 9.61251e-06 
 35 TAO,  Function value: 0.0206673,  Residual: 6.06157e-06 
 36 TAO,  Function value: 0.0206643,  Residual: 5.52886e-06 
 37 TAO,  Function value: 0.0206617,  Residual: 5.46791e-06 
 38 TAO,  Function value: 0.0206585,  Residual: 4.58075e-06 
 39 TAO,  Function value: 0.0206565,  Residual: 3.91872e-06 
 40 TAO,  Function value: 0.0206547,  Residual: 4.50533e-06 
 41 TAO,  Function value: 0.0206532,  Residual: 4.58849e-06 
 42 TAO,  Function value: 0.0206514,  Residual: 4.49359e-06 
 43 TAO,  Function value: 0.0206499,  Residual: 4.42809e-06 
 44 TAO,  Function value: 0.0206482,  Residual: 4.76715e-06 
 45 TAO,  Function value: 0.0206471,  Residual: 5.36098e-06 
 46 TAO,  Function value: 0.0206462,  Residual: 4.46775e-06 
 47 TAO,  Function value: 0.0206447,  Residual: 0.000174184 
 48 TAO,  Function value: 0.0206445,  Residual: 5.20083e-06 
 49 TAO,  Function value: 0.0206444,  Residual: 4.40974e-06 
 50 TAO,  Function value: 0.0206444,  Residual: 6.84931e-06 
 51 TAO,  Function value: 0.0206444,  Residual: 6.9843e-06 
 52 TAO,  Function value: 0.0206444,  Residual: 5.3499e-06 
 53 TAO,  Function value: 0.0206444,  Residual: 0.000174102 
 54 TAO,  Function value: 0.0206443,  Residual: 0.000174172 
 55 TAO,  Function value: 0.0206438,  Residual: 0.000174088 
 56 TAO,  Function value: 0.0206438,  Residual: 0.000174088 
 57 TAO,  Function value: 0.0206435,  Residual: 2.40253e-06 
 58 TAO,  Function value: 0.0206435,  Residual: 6.08749e-06 
 59 TAO,  Function value: 0.0206427,  Residual: 5.53752e-06 
 60 TAO,  Function value: 0.0206427,  Residual: 0.000145081 
 61 TAO,  Function value: 0.0206425,  Residual: 5.40863e-05 
 62 TAO,  Function value: 0.0206425,  Residual: 5.15628e-05 
 63 TAO,  Function value: 0.0206425,  Residual: 5.41006e-05 
 64 TAO,  Function value: 0.0206424,  Residual: 2.90777e-05 
 65 TAO,  Function value: 0.0206423,  Residual: 0.000167204 
 66 TAO,  Function value: 0.0206423,  Residual: 1.71376e-05 
 67 TAO,  Function value: 0.0206422,  Residual: 1.68929e-05 
 68 TAO,  Function value: 0.0206422,  Residual: 0.000166897 
 69 TAO,  Function value: 0.0206421,  Residual: 8.28099e-06 
 70 TAO,  Function value: 0.0206421,  Residual: 7.20954e-06 
 71 TAO,  Function value: 0.020642,  Residual: 2.71696e-05 
 72 TAO,  Function value: 0.020642,  Residual: 6.92844e-06 
 73 TAO,  Function value: 0.020642,  Residual: 0.000172264 
 74 TAO,  Function value: 0.020642,  Residual: 0.000172257 
 75 TAO,  Function value: 0.0206419,  Residual: 0.000172175 
 76 TAO,  Function value: 0.0206418,  Residual: 3.86637e-06 
 77 TAO,  Function value: 0.0206418,  Residual: 2.71157e-05 
 78 TAO,  Function value: 0.0206418,  Residual: 2.62818e-05 
 79 TAO,  Function value: 0.0206416,  Residual: 3.44902e-05 
 80 TAO,  Function value: 0.0206416,  Residual: 4.89399e-06 
 81 TAO,  Function value: 0.0206416,  Residual: 0.000172209 
 82 TAO,  Function value: 0.0206416,  Residual: 0.000170859 
 83 TAO,  Function value: 0.0206415,  Residual: 3.33344e-06 
 84 TAO,  Function value: 0.0206415,  Residual: 3.28153e-06 
 85 TAO,  Function value: 0.0206415,  Residual: 3.27978e-06 
 86 TAO,  Function value: 0.0206406,  Residual: 0.000174305 
 87 TAO,  Function value: 0.0206405,  Residual: 0.00017454 
