  Iteration information for myTAO_ solve.
  0 TAO,  Function value: 0.0294578,  Residual: 0.000603031 
  1 TAO,  Function value: 0.029289,  Residual: 0.000521233 
  2 TAO,  Function value: 0.0283235,  Residual: 0.000268515 
  3 TAO,  Function value: 0.0275384,  Residual: 0.000201208 
  4 TAO,  Function value: 0.025818,  Residual: 0.000155009 
  5 TAO,  Function value: 0.0246302,  Residual: 0.000427313 
  6 TAO,  Function value: 0.0237748,  Residual: 0.000127482 
  7 TAO,  Function value: 0.0234536,  Residual: 0.000145036 
  8 TAO,  Function value: 0.0229711,  Residual: 0.00014997 
  9 TAO,  Function value: 0.0227035,  Residual: 8.92054e-05 
 10 TAO,  Function value: 0.0225857,  Residual: 8.20928e-05 
 11 TAO,  Function value: 0.0224866,  Residual: 0.000171927 
 12 TAO,  Function value: 0.0223054,  Residual: 8.85506e-05 
 13 TAO,  Function value: 0.0222565,  Residual: 9.04718e-05 
 14 TAO,  Function value: 0.0220326,  Residual: 7.9683e-05 
 15 TAO,  Function value: 0.0218121,  Residual: 9.45055e-05 
 16 TAO,  Function value: 0.021698,  Residual: 7.82838e-05 
 17 TAO,  Function value: 0.0216163,  Residual: 7.50281e-05 
 18 TAO,  Function value: 0.0215207,  Residual: 6.79163e-05 
 19 TAO,  Function value: 0.0213645,  Residual: 7.96214e-05 
 20 TAO,  Function value: 0.0212291,  Residual: 6.04808e-05 
 21 TAO,  Function value: 0.0211041,  Residual: 4.29407e-05 
 22 TAO,  Function value: 0.021011,  Residual: 3.61869e-05 
 23 TAO,  Function value: 0.0209664,  Residual: 3.15838e-05 
 24 TAO,  Function value: 0.0209602,  Residual: 3.41947e-05 
 25 TAO,  Function value: 0.0209246,  Residual: 2.47257e-05 
 26 TAO,  Function value: 0.0208894,  Residual: 1.81701e-05 
 27 TAO,  Function value: 0.0208719,  Residual: 1.89416e-05 
 28 TAO,  Function value: 0.02086,  Residual: 1.50813e-05 
 29 TAO,  Function value: 0.0208501,  Residual: 1.3786e-05 
 30 TAO,  Function value: 0.0208352,  Residual: 1.57296e-05 
 31 TAO,  Function value: 0.0208241,  Residual: 1.67163e-05 
 32 TAO,  Function value: 0.020819,  Residual: 1.31107e-05 
 33 TAO,  Function value: 0.0208124,  Residual: 1.02601e-05 
 34 TAO,  Function value: 0.020805,  Residual: 1.19793e-05 
 35 TAO,  Function value: 0.0208018,  Residual: 1.1572e-05 
 36 TAO,  Function value: 0.0207963,  Residual: 8.76842e-06 
 37 TAO,  Function value: 0.0207894,  Residual: 9.7422e-06 
 38 TAO,  Function value: 0.0207856,  Residual: 1.63503e-05 
 39 TAO,  Function value: 0.0207826,  Residual: 1.36724e-05 
 40 TAO,  Function value: 0.0207754,  Residual: 1.31836e-05 
 41 TAO,  Function value: 0.0207694,  Residual: 1.41505e-05 
 42 TAO,  Function value: 0.0207688,  Residual: 1.50708e-05 
 43 TAO,  Function value: 0.0207655,  Residual: 1.31311e-05 
 44 TAO,  Function value: 0.0207578,  Residual: 1.0108e-05 
 45 TAO,  Function value: 0.0207476,  Residual: 1.02958e-05 
 46 TAO,  Function value: 0.0207421,  Residual: 1.04855e-05 
 47 TAO,  Function value: 0.0207356,  Residual: 7.43378e-06 
 48 TAO,  Function value: 0.0207317,  Residual: 9.41352e-06 
 49 TAO,  Function value: 0.0207309,  Residual: 1.07369e-05 
 50 TAO,  Function value: 0.0207275,  Residual: 8.35931e-06 
 51 TAO,  Function value: 0.0207247,  Residual: 0.000217347 
 52 TAO,  Function value: 0.0207242,  Residual: 1.13193e-05 
 53 TAO,  Function value: 0.0207241,  Residual: 8.11741e-06 
 54 TAO,  Function value: 0.0207235,  Residual: 6.28203e-05 
 55 TAO,  Function value: 0.0207224,  Residual: 4.95135e-05 
 56 TAO,  Function value: 0.0207219,  Residual: 4.21747e-05 
 57 TAO,  Function value: 0.0207219,  Residual: 2.10229e-05 
 58 TAO,  Function value: 0.0207218,  Residual: 0.000213541 
 59 TAO,  Function value: 0.0207218,  Residual: 0.000213369 
 60 TAO,  Function value: 0.0207217,  Residual: 0.000213637 
 61 TAO,  Function value: 0.0207217,  Residual: 0.000213441 
 62 TAO,  Function value: 0.0207217,  Residual: 1.12155e-05 
 63 TAO,  Function value: 0.0207216,  Residual: 4.11016e-05 
 64 TAO,  Function value: 0.0207216,  Residual: 7.74084e-06 
 65 TAO,  Function value: 0.0207209,  Residual: 2.93285e-05 
 66 TAO,  Function value: 0.0207208,  Residual: 0.000216389 
 67 TAO,  Function value: 0.0207205,  Residual: 4.87533e-05 
 68 TAO,  Function value: 0.0207204,  Residual: 0.000128638 
 69 TAO,  Function value: 0.0207203,  Residual: 0.000205478 
 70 TAO,  Function value: 0.0207203,  Residual: 3.56342e-05 
 71 TAO,  Function value: 0.0207202,  Residual: 1.32447e-05 
 72 TAO,  Function value: 0.0207202,  Residual: 0.000214656 
 73 TAO,  Function value: 0.0207201,  Residual: 0.000215137 
 74 TAO,  Function value: 0.02072,  Residual: 7.94745e-06 
 75 TAO,  Function value: 0.02072,  Residual: 3.09729e-05 
 76 TAO,  Function value: 0.0207198,  Residual: 2.71328e-05 
 77 TAO,  Function value: 0.0207193,  Residual: 5.40765e-05 
 78 TAO,  Function value: 0.0207193,  Residual: 7.0621e-05 
 79 TAO,  Function value: 0.0207192,  Residual: 5.75975e-05 
 80 TAO,  Function value: 0.0207192,  Residual: 4.28707e-05 
 81 TAO,  Function value: 0.0207191,  Residual: 3.17296e-05 
 82 TAO,  Function value: 0.020719,  Residual: 7.02656e-06 
 83 TAO,  Function value: 0.020719,  Residual: 0.000214814 
