  Iteration information for myTAO_ solve.
 94 TAO,  Function value: 0.0205782,  Residual: 3.01327e-06 
 95 TAO,  Function value: 0.0205779,  Residual: 2.51829e-06 
 96 TAO,  Function value: 0.0205774,  Residual: 0.000147153 
 97 TAO,  Function value: 0.0205773,  Residual: 2.41759e-06 
 98 TAO,  Function value: 0.0205773,  Residual: 2.03448e-06 
 99 TAO,  Function value: 0.0205773,  Residual: 4.54425e-06 
100 TAO,  Function value: 0.0205773,  Residual: 4.54995e-06 
101 TAO,  Function value: 0.0205773,  Residual: 2.49519e-06 
102 TAO,  Function value: 0.0205773,  Residual: 0.000147094 
103 TAO,  Function value: 0.0205772,  Residual: 0.000147089 
104 TAO,  Function value: 0.0205772,  Residual: 1.66211e-06 
105 TAO,  Function value: 0.0205772,  Residual: 4.45746e-06 
106 TAO,  Function value: 0.0205772,  Residual: 0.000146892 
107 TAO,  Function value: 0.020577,  Residual: 0.000146863 
108 TAO,  Function value: 0.020577,  Residual: 1.47129e-06 
109 TAO,  Function value: 0.020577,  Residual: 8.80666e-06 
110 TAO,  Function value: 0.0205769,  Residual: 8.26059e-06 
111 TAO,  Function value: 0.0205769,  Residual: 4.84776e-05 
112 TAO,  Function value: 0.0205768,  Residual: 1.06816e-05 
113 TAO,  Function value: 0.0205768,  Residual: 0.000140464 
114 TAO,  Function value: 0.0205768,  Residual: 6.14583e-06 
115 TAO,  Function value: 0.0205768,  Residual: 3.36722e-06 
116 TAO,  Function value: 0.0205768,  Residual: 2.70812e-06 
117 TAO,  Function value: 0.0205768,  Residual: 0.000147068 
118 TAO,  Function value: 0.0205768,  Residual: 0.000147079 
119 TAO,  Function value: 0.0205768,  Residual: 2.85588e-06 
120 TAO,  Function value: 0.0205768,  Residual: 2.66823e-05 
121 TAO,  Function value: 0.0205767,  Residual: 2.09768e-06 
122 TAO,  Function value: 0.0205767,  Residual: 0.000126915 
123 TAO,  Function value: 0.0205767,  Residual: 0.000125832 
124 TAO,  Function value: 0.0205767,  Residual: 8.96547e-05 
125 TAO,  Function value: 0.0205767,  Residual: 4.52284e-05 
126 TAO,  Function value: 0.0205767,  Residual: 1.41135e-05 
127 TAO,  Function value: 0.0205767,  Residual: 9.81589e-07 
128 TAO,  Function value: 0.0205767,  Residual: 0.000146402 
129 TAO,  Function value: 0.0205767,  Residual: 0.000147076 
130 TAO,  Function value: 0.0205767,  Residual: 0.000146374 
131 TAO,  Function value: 0.0205766,  Residual: 0.000144902 
132 TAO,  Function value: 0.0205766,  Residual: 0.000144914 
133 TAO,  Function value: 0.0205766,  Residual: 1.2198e-06 
134 TAO,  Function value: 0.0205765,  Residual: 9.27609e-07 
135 TAO,  Function value: 0.0205765,  Residual: 0.000147047 
136 TAO,  Function value: 0.0205765,  Residual: 1.0504e-06 
137 TAO,  Function value: 0.0205765,  Residual: 9.01623e-07 
138 TAO,  Function value: 0.0205764,  Residual: 9.25164e-07 
139 TAO,  Function value: 0.0205757,  Residual: 1.76437e-06 
140 TAO,  Function value: 0.0205757,  Residual: 1.76257e-06 
141 TAO,  Function value: 0.0205756,  Residual: 0.000146911 
142 TAO,  Function value: 0.0205755,  Residual: 0.000146898 
143 TAO,  Function value: 0.0205755,  Residual: 0.000146896 
144 TAO,  Function value: 0.0205754,  Residual: 0.000146893 
145 TAO,  Function value: 0.0205752,  Residual: 7.67744e-06 
146 TAO,  Function value: 0.0205752,  Residual: 2.27251e-05 
147 TAO,  Function value: 0.0205752,  Residual: 2.20339e-06 
148 TAO,  Function value: 0.0205752,  Residual: 2.29531e-05 
149 TAO,  Function value: 0.0205752,  Residual: 3.41223e-06 
150 TAO,  Function value: 0.0205752,  Residual: 3.74175e-06 
151 TAO,  Function value: 0.0205751,  Residual: 1.32417e-05 
152 TAO,  Function value: 0.0205751,  Residual: 1.58e-05 
153 TAO,  Function value: 0.0205751,  Residual: 8.28437e-06 
154 TAO,  Function value: 0.0205751,  Residual: 1.55988e-05 
155 TAO,  Function value: 0.0205751,  Residual: 3.01319e-06 
156 TAO,  Function value: 0.0205751,  Residual: 9.88699e-06 
157 TAO,  Function value: 0.0205751,  Residual: 2.76413e-06 
158 TAO,  Function value: 0.0205751,  Residual: 1.25157e-05 
159 TAO,  Function value: 0.0205751,  Residual: 1.24241e-05 
160 TAO,  Function value: 0.0205751,  Residual: 1.23184e-05 
161 TAO,  Function value: 0.0205751,  Residual: 8.07663e-06 
