  Iteration information for myTAO_ solve.
  0 TAO,  Function value: 0.0306489,  Residual: 0.00156043 
  1 TAO,  Function value: 0.0304202,  Residual: 0.00137789 
  2 TAO,  Function value: 0.0292311,  Residual: 0.000437398 
  3 TAO,  Function value: 0.0289002,  Residual: 0.00033469 
  4 TAO,  Function value: 0.0278741,  Residual: 0.000241253 
  5 TAO,  Function value: 0.0262161,  Residual: 0.000208541 
  6 TAO,  Function value: 0.0258183,  Residual: 0.00160033 
  7 TAO,  Function value: 0.0247723,  Residual: 0.000190441 
  8 TAO,  Function value: 0.0244096,  Residual: 0.000199786 
  9 TAO,  Function value: 0.0239752,  Residual: 0.000250192 
 10 TAO,  Function value: 0.0234843,  Residual: 0.000160961 
 11 TAO,  Function value: 0.0230004,  Residual: 0.000129869 
 12 TAO,  Function value: 0.0227295,  Residual: 0.000150629 
 13 TAO,  Function value: 0.0225306,  Residual: 9.72004e-05 
 14 TAO,  Function value: 0.0225061,  Residual: 0.000145589 
 15 TAO,  Function value: 0.0223933,  Residual: 0.00010478 
 16 TAO,  Function value: 0.0222875,  Residual: 9.30984e-05 
 17 TAO,  Function value: 0.0221476,  Residual: 0.000106232 
 18 TAO,  Function value: 0.0219966,  Residual: 8.7817e-05 
 19 TAO,  Function value: 0.0218733,  Residual: 7.73728e-05 
 20 TAO,  Function value: 0.021757,  Residual: 8.78342e-05 
 21 TAO,  Function value: 0.0216209,  Residual: 6.70446e-05 
 22 TAO,  Function value: 0.0215409,  Residual: 7.40321e-05 
 23 TAO,  Function value: 0.0214041,  Residual: 6.58579e-05 
 24 TAO,  Function value: 0.0213011,  Residual: 5.87296e-05 
 25 TAO,  Function value: 0.0212225,  Residual: 5.47236e-05 
 26 TAO,  Function value: 0.0211678,  Residual: 5.0628e-05 
 27 TAO,  Function value: 0.0211395,  Residual: 4.59749e-05 
 28 TAO,  Function value: 0.0211152,  Residual: 4.12565e-05 
 29 TAO,  Function value: 0.0210771,  Residual: 3.3468e-05 
 30 TAO,  Function value: 0.0210411,  Residual: 2.54179e-05 
 31 TAO,  Function value: 0.0210237,  Residual: 2.38373e-05 
 32 TAO,  Function value: 0.0210067,  Residual: 2.0318e-05 
 33 TAO,  Function value: 0.0209913,  Residual: 2.39708e-05 
 34 TAO,  Function value: 0.0209749,  Residual: 2.41777e-05 
 35 TAO,  Function value: 0.0209555,  Residual: 2.11063e-05 
 36 TAO,  Function value: 0.0209392,  Residual: 2.08413e-05 
 37 TAO,  Function value: 0.0209251,  Residual: 2.51163e-05 
 38 TAO,  Function value: 0.0209147,  Residual: 2.21186e-05 
 39 TAO,  Function value: 0.0209002,  Residual: 2.23618e-05 
 40 TAO,  Function value: 0.0208856,  Residual: 1.99214e-05 
 41 TAO,  Function value: 0.0208794,  Residual: 2.10427e-05 
 42 TAO,  Function value: 0.0208731,  Residual: 2.10454e-05 
 43 TAO,  Function value: 0.0208691,  Residual: 2.48082e-05 
 44 TAO,  Function value: 0.0208563,  Residual: 2.54846e-05 
 45 TAO,  Function value: 0.0208494,  Residual: 2.19251e-05 
 46 TAO,  Function value: 0.020843,  Residual: 1.98897e-05 
 47 TAO,  Function value: 0.0208296,  Residual: 1.53876e-05 
 48 TAO,  Function value: 0.020827,  Residual: 1.58824e-05 
 49 TAO,  Function value: 0.0208206,  Residual: 1.23255e-05 
 50 TAO,  Function value: 0.0208149,  Residual: 9.94867e-06 
 51 TAO,  Function value: 0.0208107,  Residual: 7.01857e-06 
 52 TAO,  Function value: 0.0208076,  Residual: 6.70567e-06 
 53 TAO,  Function value: 0.020804,  Residual: 7.56537e-06 
 54 TAO,  Function value: 0.0208005,  Residual: 9.40101e-06 
 55 TAO,  Function value: 0.0207968,  Residual: 7.8979e-06 
 56 TAO,  Function value: 0.0207937,  Residual: 7.77776e-06 
 57 TAO,  Function value: 0.0207926,  Residual: 1.02171e-05 
 58 TAO,  Function value: 0.0207924,  Residual: 1.01862e-05 
 59 TAO,  Function value: 0.0207923,  Residual: 1.01794e-05 
 60 TAO,  Function value: 0.020789,  Residual: 8.48155e-06 
 61 TAO,  Function value: 0.020787,  Residual: 1.15556e-05 
 62 TAO,  Function value: 0.0207856,  Residual: 9.75857e-06 
 63 TAO,  Function value: 0.0207809,  Residual: 6.36259e-06 
 64 TAO,  Function value: 0.0207791,  Residual: 7.03524e-06 
 65 TAO,  Function value: 0.0207773,  Residual: 6.55609e-06 
 66 TAO,  Function value: 0.0207765,  Residual: 6.37542e-06 
 67 TAO,  Function value: 0.0207744,  Residual: 4.5156e-06 
 68 TAO,  Function value: 0.0207726,  Residual: 4.3883e-06 
 69 TAO,  Function value: 0.0207714,  Residual: 5.10858e-06 
 70 TAO,  Function value: 0.0207701,  Residual: 4.704e-06 
 71 TAO,  Function value: 0.0207686,  Residual: 6.32389e-06 
 72 TAO,  Function value: 0.0207671,  Residual: 8.2668e-06 
 73 TAO,  Function value: 0.0207666,  Residual: 9.56875e-06 
 74 TAO,  Function value: 0.0207658,  Residual: 8.84706e-06 
 75 TAO,  Function value: 0.0207658,  Residual: 0.000259964 
 76 TAO,  Function value: 0.0207645,  Residual: 2.21238e-05 
 77 TAO,  Function value: 0.0207621,  Residual: 0.000259408 
 78 TAO,  Function value: 0.0207618,  Residual: 0.000254716 
 79 TAO,  Function value: 0.0207617,  Residual: 5.84119e-05 
 80 TAO,  Function value: 0.0207617,  Residual: 6.331e-05 
 81 TAO,  Function value: 0.0207616,  Residual: 9.40667e-06 
 82 TAO,  Function value: 0.0207616,  Residual: 0.00025195 
 83 TAO,  Function value: 0.0207616,  Residual: 0.000251881 
 84 TAO,  Function value: 0.0207603,  Residual: 6.14416e-06 
 85 TAO,  Function value: 0.0207603,  Residual: 6.08787e-06 
 86 TAO,  Function value: 0.02076,  Residual: 0.000259439 
 87 TAO,  Function value: 0.0207585,  Residual: 0.000259426 
 88 TAO,  Function value: 0.0207585,  Residual: 0.000259416 
 89 TAO,  Function value: 0.0207585,  Residual: 0.000259419 
 90 TAO,  Function value: 0.0207584,  Residual: 7.53186e-06 
 91 TAO,  Function value: 0.0207584,  Residual: 6.02567e-05 
 92 TAO,  Function value: 0.0207576,  Residual: 0.00020987 
 93 TAO,  Function value: 0.0207575,  Residual: 0.000212963 
 94 TAO,  Function value: 0.0207575,  Residual: 0.000212944 
 95 TAO,  Function value: 0.0207575,  Residual: 0.000195102 
 96 TAO,  Function value: 0.0207575,  Residual: 0.00014933 
 97 TAO,  Function value: 0.0207573,  Residual: 6.90809e-05 
 98 TAO,  Function value: 0.0207573,  Residual: 5.85363e-05 
 99 TAO,  Function value: 0.0207573,  Residual: 4.34725e-06 
100 TAO,  Function value: 0.0207573,  Residual: 0.000252743 
101 TAO,  Function value: 0.0207572,  Residual: 0.000252739 
102 TAO,  Function value: 0.0207571,  Residual: 3.82063e-06 
103 TAO,  Function value: 0.020757,  Residual: 5.84668e-05 
104 TAO,  Function value: 0.020757,  Residual: 0.000248659 
105 TAO,  Function value: 0.0207567,  Residual: 0.000255264 
106 TAO,  Function value: 0.0207566,  Residual: 4.03723e-06 
107 TAO,  Function value: 0.0207566,  Residual: 4.62796e-05 
108 TAO,  Function value: 0.0207565,  Residual: 4.3548e-05 
109 TAO,  Function value: 0.0207563,  Residual: 4.63707e-05 
110 TAO,  Function value: 0.0207563,  Residual: 5.69491e-05 
111 TAO,  Function value: 0.0207563,  Residual: 4.25245e-05 
112 TAO,  Function value: 0.0207562,  Residual: 3.79524e-05 
113 TAO,  Function value: 0.0207561,  Residual: 3.91609e-05 
114 TAO,  Function value: 0.020756,  Residual: 2.97562e-05 
115 TAO,  Function value: 0.0207559,  Residual: 3.67622e-05 
116 TAO,  Function value: 0.0207556,  Residual: 3.87905e-05 
117 TAO,  Function value: 0.0207554,  Residual: 2.79057e-05 
118 TAO,  Function value: 0.0207551,  Residual: 2.85439e-05 
119 TAO,  Function value: 0.0207547,  Residual: 1.66949e-05 
120 TAO,  Function value: 0.0207535,  Residual: 1.62491e-05 
121 TAO,  Function value: 0.0207535,  Residual: 8.06828e-06 
122 TAO,  Function value: 0.0207535,  Residual: 0.000258912 
123 TAO,  Function value: 0.0207535,  Residual: 0.000258908 
124 TAO,  Function value: 0.0207531,  Residual: 6.72015e-06 
125 TAO,  Function value: 0.020753,  Residual: 6.22704e-06 
126 TAO,  Function value: 0.020753,  Residual: 5.96658e-06 
127 TAO,  Function value: 0.020752,  Residual: 0.000259232 
128 TAO,  Function value: 0.020752,  Residual: 0.000259276 
129 TAO,  Function value: 0.0207518,  Residual: 0.000259219 
130 TAO,  Function value: 0.020751,  Residual: 0.000258333 
131 TAO,  Function value: 0.02075,  Residual: 0.000253176 
132 TAO,  Function value: 0.0207492,  Residual: 6.68388e-06 
133 TAO,  Function value: 0.0207489,  Residual: 5.89301e-06 
134 TAO,  Function value: 0.0207485,  Residual: 4.85644e-06 
135 TAO,  Function value: 0.020748,  Residual: 6.15398e-06 
136 TAO,  Function value: 0.0207477,  Residual: 5.16131e-06 
137 TAO,  Function value: 0.0207475,  Residual: 4.0789e-06 
138 TAO,  Function value: 0.0207474,  Residual: 4.1085e-06 
139 TAO,  Function value: 0.0207473,  Residual: 4.24845e-06 
140 TAO,  Function value: 0.0207473,  Residual: 3.9835e-06 
141 TAO,  Function value: 0.0207472,  Residual: 3.78225e-06 
142 TAO,  Function value: 0.020747,  Residual: 3.04787e-06 
143 TAO,  Function value: 0.020747,  Residual: 3.42204e-06 
