  Iteration information for myTAO_ solve.
 94 TAO,  Function value: 0.0207239,  Residual: 6.54503e-06 
 95 TAO,  Function value: 0.0207236,  Residual: 5.81025e-06 
 96 TAO,  Function value: 0.0207235,  Residual: 5.71121e-06 
 97 TAO,  Function value: 0.0207233,  Residual: 5.66858e-06 
 98 TAO,  Function value: 0.0207232,  Residual: 5.92867e-06 
 99 TAO,  Function value: 0.020723,  Residual: 5.8478e-06 
100 TAO,  Function value: 0.0207229,  Residual: 6.03215e-06 
101 TAO,  Function value: 0.0207227,  Residual: 6.68262e-06 
102 TAO,  Function value: 0.0207225,  Residual: 7.82733e-06 
103 TAO,  Function value: 0.0207222,  Residual: 9.17444e-06 
104 TAO,  Function value: 0.0207213,  Residual: 1.38161e-05 
105 TAO,  Function value: 0.0207209,  Residual: 1.59321e-05 
106 TAO,  Function value: 0.0207201,  Residual: 1.89443e-05 
107 TAO,  Function value: 0.02072,  Residual: 1.93068e-05 
108 TAO,  Function value: 0.02072,  Residual: 1.92466e-05 
109 TAO,  Function value: 0.0207055,  Residual: 0.000224332 
110 TAO,  Function value: 0.0207054,  Residual: 8.38726e-06 
111 TAO,  Function value: 0.0207054,  Residual: 5.77431e-05 
112 TAO,  Function value: 0.0207045,  Residual: 0.000166535 
113 TAO,  Function value: 0.0207034,  Residual: 0.000171379 
114 TAO,  Function value: 0.0207025,  Residual: 0.000170739 
115 TAO,  Function value: 0.020701,  Residual: 1.10644e-05 
116 TAO,  Function value: 0.020701,  Residual: 0.000146182 
117 TAO,  Function value: 0.020701,  Residual: 0.000146166 
118 TAO,  Function value: 0.0207005,  Residual: 0.00014604 
119 TAO,  Function value: 0.0206999,  Residual: 7.24861e-06 
120 TAO,  Function value: 0.0206999,  Residual: 0.000170482 
121 TAO,  Function value: 0.0206999,  Residual: 0.000170475 
122 TAO,  Function value: 0.0206999,  Residual: 0.000170465 
123 TAO,  Function value: 0.0206999,  Residual: 6.81051e-06 
124 TAO,  Function value: 0.0206999,  Residual: 0.000146033 
125 TAO,  Function value: 0.0206998,  Residual: 0.000146021 
126 TAO,  Function value: 0.0206998,  Residual: 0.000145922 
127 TAO,  Function value: 0.0206997,  Residual: 0.00014594 
128 TAO,  Function value: 0.0206997,  Residual: 0.000145913 
129 TAO,  Function value: 0.0206996,  Residual: 1.5625e-05 
130 TAO,  Function value: 0.0206991,  Residual: 3.28396e-05 
131 TAO,  Function value: 0.0206989,  Residual: 0.000142163 
132 TAO,  Function value: 0.0206985,  Residual: 8.33493e-05 
133 TAO,  Function value: 0.0206985,  Residual: 1.02691e-05 
134 TAO,  Function value: 0.0206985,  Residual: 4.41079e-06 
135 TAO,  Function value: 0.0206985,  Residual: 0.000224076 
136 TAO,  Function value: 0.0206984,  Residual: 0.00022426 
137 TAO,  Function value: 0.0206982,  Residual: 0.000224048 
