  Iteration information for myTAO_ solve.
  0 TAO,  Function value: 0.0297393,  Residual: 0.00056931 
  1 TAO,  Function value: 0.0295876,  Residual: 0.000501376 
  2 TAO,  Function value: 0.0287118,  Residual: 0.000244445 
  3 TAO,  Function value: 0.0281081,  Residual: 0.000173497 
  4 TAO,  Function value: 0.0269685,  Residual: 0.000118716 
  5 TAO,  Function value: 0.0255043,  Residual: 0.000104673 
  6 TAO,  Function value: 0.0253125,  Residual: 0.000848307 
  7 TAO,  Function value: 0.0241247,  Residual: 9.99304e-05 
  8 TAO,  Function value: 0.0238422,  Residual: 0.000106771 
  9 TAO,  Function value: 0.0234427,  Residual: 0.000105242 
 10 TAO,  Function value: 0.0231775,  Residual: 0.000163465 
 11 TAO,  Function value: 0.022805,  Residual: 8.27738e-05 
 12 TAO,  Function value: 0.0226381,  Residual: 6.98044e-05 
 13 TAO,  Function value: 0.0224127,  Residual: 6.56123e-05 
 14 TAO,  Function value: 0.0222962,  Residual: 5.06514e-05 
 15 TAO,  Function value: 0.0222039,  Residual: 4.81669e-05 
 16 TAO,  Function value: 0.0220229,  Residual: 5.0207e-05 
 17 TAO,  Function value: 0.0218513,  Residual: 6.80317e-05 
 18 TAO,  Function value: 0.0217404,  Residual: 6.10755e-05 
 19 TAO,  Function value: 0.0216435,  Residual: 5.874e-05 
 20 TAO,  Function value: 0.0215616,  Residual: 6.03313e-05 
 21 TAO,  Function value: 0.0214737,  Residual: 5.32956e-05 
 22 TAO,  Function value: 0.0213976,  Residual: 5.11791e-05 
 23 TAO,  Function value: 0.0212505,  Residual: 4.35781e-05 
 24 TAO,  Function value: 0.0210946,  Residual: 3.67758e-05 
 25 TAO,  Function value: 0.0209991,  Residual: 3.58317e-05 
 26 TAO,  Function value: 0.0209123,  Residual: 2.8951e-05 
 27 TAO,  Function value: 0.0208895,  Residual: 2.50662e-05 
 28 TAO,  Function value: 0.0208649,  Residual: 2.17843e-05 
 29 TAO,  Function value: 0.02083,  Residual: 1.78756e-05 
 30 TAO,  Function value: 0.0207953,  Residual: 1.4086e-05 
 31 TAO,  Function value: 0.0207745,  Residual: 1.22049e-05 
 32 TAO,  Function value: 0.0207632,  Residual: 1.06306e-05 
 33 TAO,  Function value: 0.0207534,  Residual: 9.49078e-06 
