  Iteration information for myTAO_ solve.
 96 TAO,  Function value: 0.0828138,  Residual: 0.000402434 
 97 TAO,  Function value: 0.0828028,  Residual: 0.000409543 
 98 TAO,  Function value: 0.0827989,  Residual: 1.54448e-05 
 99 TAO,  Function value: 0.0827989,  Residual: 0.000692759 
100 TAO,  Function value: 0.0827988,  Residual: 0.000690698 
101 TAO,  Function value: 0.0827929,  Residual: 0.000690972 
102 TAO,  Function value: 0.0827907,  Residual: 1.11346e-05 
103 TAO,  Function value: 0.0827906,  Residual: 0.000415081 
104 TAO,  Function value: 0.0827905,  Residual: 0.000402635 
105 TAO,  Function value: 0.082784,  Residual: 0.000410325 
106 TAO,  Function value: 0.0827818,  Residual: 1.05317e-05 
107 TAO,  Function value: 0.0827818,  Residual: 0.00069282 
108 TAO,  Function value: 0.0827818,  Residual: 0.000692669 
109 TAO,  Function value: 0.0827792,  Residual: 0.000692484 
110 TAO,  Function value: 0.0827781,  Residual: 0.000692313 
111 TAO,  Function value: 0.082776,  Residual: 9.42877e-06 
112 TAO,  Function value: 0.082776,  Residual: 0.000409118 
113 TAO,  Function value: 0.0827759,  Residual: 0.000398774 
114 TAO,  Function value: 0.0827718,  Residual: 0.000407622 
115 TAO,  Function value: 0.0827717,  Residual: 0.000478143 
116 TAO,  Function value: 0.0827717,  Residual: 0.000418699 
117 TAO,  Function value: 0.0827716,  Residual: 0.000408242 
118 TAO,  Function value: 0.0827715,  Residual: 0.000399765 
119 TAO,  Function value: 0.0827713,  Residual: 0.00043932 
120 TAO,  Function value: 0.0827712,  Residual: 0.000446457 
121 TAO,  Function value: 0.0827711,  Residual: 0.000387293 
122 TAO,  Function value: 0.082771,  Residual: 0.000373095 
123 TAO,  Function value: 0.0827707,  Residual: 0.000367602 
124 TAO,  Function value: 0.0827699,  Residual: 0.000288878 
125 TAO,  Function value: 0.0827684,  Residual: 0.000269386 
126 TAO,  Function value: 0.0827678,  Residual: 0.000271865 
127 TAO,  Function value: 0.0827672,  Residual: 0.000204936 
128 TAO,  Function value: 0.0827666,  Residual: 0.000201609 
129 TAO,  Function value: 0.0827662,  Residual: 0.000194658 
130 TAO,  Function value: 0.0827651,  Residual: 0.0001998 
131 TAO,  Function value: 0.0827644,  Residual: 0.000127384 
132 TAO,  Function value: 0.0827626,  Residual: 0.000128467 
133 TAO,  Function value: 0.0827625,  Residual: 8.23899e-05 
134 TAO,  Function value: 0.0827619,  Residual: 7.41239e-05 
135 TAO,  Function value: 0.0827611,  Residual: 0.000798061 
136 TAO,  Function value: 0.0827605,  Residual: 1.30285e-05 
137 TAO,  Function value: 0.0827605,  Residual: 8.17658e-05 
138 TAO,  Function value: 0.0827596,  Residual: 6.13303e-05 
139 TAO,  Function value: 0.0827591,  Residual: 0.000441651 
140 TAO,  Function value: 0.0827585,  Residual: 5.00718e-05 
141 TAO,  Function value: 0.0827584,  Residual: 0.000672518 
142 TAO,  Function value: 0.0827583,  Residual: 2.42722e-05 
143 TAO,  Function value: 0.0827583,  Residual: 1.96001e-05 
144 TAO,  Function value: 0.0827583,  Residual: 1.78031e-05 
145 TAO,  Function value: 0.0827578,  Residual: 0.000801541 
146 TAO,  Function value: 0.0827519,  Residual: 0.000801236 
147 TAO,  Function value: 0.0827511,  Residual: 1.44109e-05 
148 TAO,  Function value: 0.0827495,  Residual: 0.000347255 
149 TAO,  Function value: 0.082747,  Residual: 0.000719801 
150 TAO,  Function value: 0.0827449,  Residual: 0.000707923 
151 TAO,  Function value: 0.0827446,  Residual: 0.000605051 
152 TAO,  Function value: 0.0827446,  Residual: 0.000577903 
153 TAO,  Function value: 0.0827445,  Residual: 0.000453091 
154 TAO,  Function value: 0.0827444,  Residual: 0.000440901 
155 TAO,  Function value: 0.0827444,  Residual: 0.000492607 
156 TAO,  Function value: 0.0827444,  Residual: 0.000460132 
157 TAO,  Function value: 0.0827443,  Residual: 0.000436319 
158 TAO,  Function value: 0.0827443,  Residual: 0.000457151 
159 TAO,  Function value: 0.0827443,  Residual: 0.000415155 
160 TAO,  Function value: 0.0827443,  Residual: 0.00040509 
161 TAO,  Function value: 0.0827442,  Residual: 0.000213432 
162 TAO,  Function value: 0.0827441,  Residual: 0.000131396 
163 TAO,  Function value: 0.0827441,  Residual: 8.8915e-05 
164 TAO,  Function value: 0.082744,  Residual: 1.34778e-05 
165 TAO,  Function value: 0.0827439,  Residual: 0.000795411 
166 TAO,  Function value: 0.0827433,  Residual: 0.000800218 
167 TAO,  Function value: 0.0827399,  Residual: 0.000795201 
168 TAO,  Function value: 0.0827399,  Residual: 0.00079522 
169 TAO,  Function value: 0.0827399,  Residual: 0.0007952 
170 TAO,  Function value: 0.0827379,  Residual: 9.0071e-06 
171 TAO,  Function value: 0.0827378,  Residual: 7.69925e-05 
172 TAO,  Function value: 0.0827378,  Residual: 7.23528e-06 
173 TAO,  Function value: 0.0827378,  Residual: 0.000796319 
174 TAO,  Function value: 0.0827377,  Residual: 0.000799994 
175 TAO,  Function value: 0.0827341,  Residual: 0.000796491 
176 TAO,  Function value: 0.0827319,  Residual: 0.000796537 
177 TAO,  Function value: 0.08273,  Residual: 1.1115e-05 
178 TAO,  Function value: 0.082729,  Residual: 6.89966e-05 
179 TAO,  Function value: 0.0827259,  Residual: 0.000403339 
180 TAO,  Function value: 0.0827259,  Residual: 9.38271e-06 
181 TAO,  Function value: 0.0827259,  Residual: 0.000690453 
182 TAO,  Function value: 0.0827259,  Residual: 0.000690448 
183 TAO,  Function value: 0.0827258,  Residual: 9.32589e-06 
184 TAO,  Function value: 0.0827254,  Residual: 0.000403268 
185 TAO,  Function value: 0.0827244,  Residual: 0.000649795 
186 TAO,  Function value: 0.0827229,  Residual: 0.000648834 
187 TAO,  Function value: 0.0827222,  Residual: 8.006e-06 
188 TAO,  Function value: 0.0827221,  Residual: 0.000466483 
189 TAO,  Function value: 0.0827214,  Residual: 0.000450893 
190 TAO,  Function value: 0.0827203,  Residual: 0.000449623 
191 TAO,  Function value: 0.0827203,  Residual: 0.000468359 
192 TAO,  Function value: 0.0827191,  Residual: 0.000430004 
193 TAO,  Function value: 0.082719,  Residual: 0.000421311 
194 TAO,  Function value: 0.082719,  Residual: 0.000408492 
195 TAO,  Function value: 0.0827182,  Residual: 1.17958e-05 
196 TAO,  Function value: 0.0827182,  Residual: 0.000687167 
197 TAO,  Function value: 0.0827181,  Residual: 0.000686976 
198 TAO,  Function value: 0.0827181,  Residual: 1.09629e-05 
199 TAO,  Function value: 0.0827174,  Residual: 0.000408097 
200 TAO,  Function value: 0.082716,  Residual: 0.000652586 
201 TAO,  Function value: 0.0827152,  Residual: 0.000651657 
202 TAO,  Function value: 0.0827146,  Residual: 8.58285e-06 
