  Iteration information for myTAO_ solve.
  0 TAO,  Function value: 0.0303731,  Residual: 0.000465585 
  1 TAO,  Function value: 0.0300048,  Residual: 0.00033068 
  2 TAO,  Function value: 0.0292396,  Residual: 0.000211582 
  3 TAO,  Function value: 0.0282502,  Residual: 0.000150882 
  4 TAO,  Function value: 0.0267533,  Residual: 0.000122427 
  5 TAO,  Function value: 0.0250812,  Residual: 0.000159224 
  6 TAO,  Function value: 0.024897,  Residual: 0.000302076 
  7 TAO,  Function value: 0.0240234,  Residual: 0.000141464 
  8 TAO,  Function value: 0.0235714,  Residual: 8.91125e-05 
  9 TAO,  Function value: 0.0231964,  Residual: 8.68081e-05 
 10 TAO,  Function value: 0.0229423,  Residual: 7.11332e-05 
 11 TAO,  Function value: 0.0228378,  Residual: 6.13407e-05 
 12 TAO,  Function value: 0.0227639,  Residual: 5.68628e-05 
 13 TAO,  Function value: 0.0226286,  Residual: 5.07613e-05 
 14 TAO,  Function value: 0.0225056,  Residual: 6.33757e-05 
 15 TAO,  Function value: 0.0223991,  Residual: 5.88313e-05 
 16 TAO,  Function value: 0.0223387,  Residual: 5.20504e-05 
 17 TAO,  Function value: 0.0222732,  Residual: 4.99565e-05 
 18 TAO,  Function value: 0.0222031,  Residual: 5.15689e-05 
 19 TAO,  Function value: 0.0221313,  Residual: 5.35562e-05 
 20 TAO,  Function value: 0.0220634,  Residual: 4.65148e-05 
 21 TAO,  Function value: 0.022007,  Residual: 4.40507e-05 
 22 TAO,  Function value: 0.0219553,  Residual: 4.66209e-05 
 23 TAO,  Function value: 0.0219052,  Residual: 4.74338e-05 
 24 TAO,  Function value: 0.0218436,  Residual: 4.6473e-05 
 25 TAO,  Function value: 0.0217925,  Residual: 4.76862e-05 
 26 TAO,  Function value: 0.0217804,  Residual: 5.66883e-05 
 27 TAO,  Function value: 0.0217535,  Residual: 4.05657e-05 
 28 TAO,  Function value: 0.0217301,  Residual: 3.75586e-05 
 29 TAO,  Function value: 0.0216743,  Residual: 3.75881e-05 
 30 TAO,  Function value: 0.0216006,  Residual: 3.24414e-05 
 31 TAO,  Function value: 0.0215727,  Residual: 3.77079e-05 
 32 TAO,  Function value: 0.0215513,  Residual: 2.13031e-05 
 33 TAO,  Function value: 0.0215398,  Residual: 2.06639e-05 
 34 TAO,  Function value: 0.0215226,  Residual: 1.96425e-05 
 35 TAO,  Function value: 0.0215018,  Residual: 2.36329e-05 
 36 TAO,  Function value: 0.0214876,  Residual: 2.21894e-05 
 37 TAO,  Function value: 0.0214776,  Residual: 1.37425e-05 
 38 TAO,  Function value: 0.0214632,  Residual: 1.41951e-05 
 39 TAO,  Function value: 0.0214551,  Residual: 1.43695e-05 
 40 TAO,  Function value: 0.0214462,  Residual: 1.64994e-05 
 41 TAO,  Function value: 0.0214397,  Residual: 1.01182e-05 
 42 TAO,  Function value: 0.0214365,  Residual: 7.44694e-06 
 43 TAO,  Function value: 0.0214313,  Residual: 7.37423e-06 
 44 TAO,  Function value: 0.0214279,  Residual: 9.39347e-06 
 45 TAO,  Function value: 0.0214251,  Residual: 7.00829e-06 
 46 TAO,  Function value: 0.0214225,  Residual: 5.71673e-06 
 47 TAO,  Function value: 0.0214194,  Residual: 6.72276e-06 
 48 TAO,  Function value: 0.0214176,  Residual: 1.0486e-05 
 49 TAO,  Function value: 0.0214163,  Residual: 7.39398e-06 
 50 TAO,  Function value: 0.021415,  Residual: 6.05116e-06 
 51 TAO,  Function value: 0.0214113,  Residual: 7.81433e-06 
 52 TAO,  Function value: 0.0214095,  Residual: 8.41913e-06 
 53 TAO,  Function value: 0.0214092,  Residual: 8.58166e-06 
 54 TAO,  Function value: 0.0214079,  Residual: 6.68547e-06 
 55 TAO,  Function value: 0.0214065,  Residual: 6.30988e-06 
 56 TAO,  Function value: 0.0214025,  Residual: 8.17937e-06 
 57 TAO,  Function value: 0.0214008,  Residual: 8.32015e-06 
 58 TAO,  Function value: 0.0213993,  Residual: 7.57207e-06 
 59 TAO,  Function value: 0.0213968,  Residual: 7.20197e-06 
 60 TAO,  Function value: 0.0213936,  Residual: 1.0873e-05 
 61 TAO,  Function value: 0.0213933,  Residual: 9.81238e-06 
 62 TAO,  Function value: 0.0213926,  Residual: 8.90317e-06 
 63 TAO,  Function value: 0.0213895,  Residual: 0.000143147 
 64 TAO,  Function value: 0.0213894,  Residual: 1.27713e-05 
 65 TAO,  Function value: 0.0213892,  Residual: 1.09293e-05 
 66 TAO,  Function value: 0.0213892,  Residual: 1.26536e-05 
 67 TAO,  Function value: 0.0213892,  Residual: 1.20722e-05 
 68 TAO,  Function value: 0.0213891,  Residual: 1.11057e-05 
 69 TAO,  Function value: 0.0213891,  Residual: 1.09201e-05 
 70 TAO,  Function value: 0.0213884,  Residual: 0.000142732 
 71 TAO,  Function value: 0.021388,  Residual: 0.000142915 
 72 TAO,  Function value: 0.021388,  Residual: 1.849e-05 
 73 TAO,  Function value: 0.0213865,  Residual: 1.83267e-05 
 74 TAO,  Function value: 0.0213863,  Residual: 0.000140877 
 75 TAO,  Function value: 0.0213852,  Residual: 3.11066e-05 
 76 TAO,  Function value: 0.0213833,  Residual: 0.000139151 
 77 TAO,  Function value: 0.0213831,  Residual: 1.18942e-05 
 78 TAO,  Function value: 0.0213829,  Residual: 1.23085e-05 
 79 TAO,  Function value: 0.0213822,  Residual: 7.7334e-06 
 80 TAO,  Function value: 0.0213822,  Residual: 6.44081e-06 
 81 TAO,  Function value: 0.0213821,  Residual: 0.000142378 
 82 TAO,  Function value: 0.0213813,  Residual: 0.000142441 
 83 TAO,  Function value: 0.0213812,  Residual: 8.11107e-06 
 84 TAO,  Function value: 0.0213812,  Residual: 2.86334e-05 
 85 TAO,  Function value: 0.0213804,  Residual: 4.26061e-05 
 86 TAO,  Function value: 0.0213804,  Residual: 0.000137999 
 87 TAO,  Function value: 0.0213802,  Residual: 0.000137313 
 88 TAO,  Function value: 0.0213802,  Residual: 2.869e-05 
 89 TAO,  Function value: 0.0213802,  Residual: 3.5653e-05 
 90 TAO,  Function value: 0.0213802,  Residual: 2.51674e-05 
 91 TAO,  Function value: 0.0213801,  Residual: 4.44928e-06 
 92 TAO,  Function value: 0.0213801,  Residual: 0.000140229 
 93 TAO,  Function value: 0.0213801,  Residual: 0.000140225 
 94 TAO,  Function value: 0.0213801,  Residual: 4.26127e-06 
 95 TAO,  Function value: 0.0213801,  Residual: 2.5113e-05 
 96 TAO,  Function value: 0.0213799,  Residual: 2.49691e-05 
 97 TAO,  Function value: 0.021379,  Residual: 3.89493e-05 
 98 TAO,  Function value: 0.0213788,  Residual: 0.000137187 
 99 TAO,  Function value: 0.0213771,  Residual: 0.00012056 
100 TAO,  Function value: 0.0213766,  Residual: 8.49098e-05 
101 TAO,  Function value: 0.0213764,  Residual: 8.4074e-05 
102 TAO,  Function value: 0.0213762,  Residual: 2.42009e-05 
103 TAO,  Function value: 0.0213762,  Residual: 0.000116736 
104 TAO,  Function value: 0.0213762,  Residual: 0.000116353 
105 TAO,  Function value: 0.0213749,  Residual: 1.55045e-05 
106 TAO,  Function value: 0.0213746,  Residual: 0.000141877 
107 TAO,  Function value: 0.0213744,  Residual: 0.000116882 
108 TAO,  Function value: 0.0213743,  Residual: 0.000116555 
109 TAO,  Function value: 0.021373,  Residual: 1.83819e-05 
110 TAO,  Function value: 0.0213729,  Residual: 8.28346e-05 
111 TAO,  Function value: 0.0213729,  Residual: 8.26111e-05 
112 TAO,  Function value: 0.0213727,  Residual: 1.57687e-05 
113 TAO,  Function value: 0.0213727,  Residual: 1.58789e-05 
114 TAO,  Function value: 0.0213727,  Residual: 9.5223e-06 
115 TAO,  Function value: 0.0213726,  Residual: 0.000141573 
