  Iteration information for myTAO_ solve.
  0 TAO,  Function value: 0.0297541,  Residual: 0.000454763 
  1 TAO,  Function value: 0.029404,  Residual: 0.000320285 
  2 TAO,  Function value: 0.0286978,  Residual: 0.000202836 
  3 TAO,  Function value: 0.0277945,  Residual: 0.00013857 
  4 TAO,  Function value: 0.0264265,  Residual: 0.000112072 
  5 TAO,  Function value: 0.0246137,  Residual: 0.000140864 
  6 TAO,  Function value: 0.0244892,  Residual: 0.000307901 
  7 TAO,  Function value: 0.023623,  Residual: 0.000120493 
  8 TAO,  Function value: 0.0232408,  Residual: 8.32314e-05 
  9 TAO,  Function value: 0.0228695,  Residual: 7.86693e-05 
 10 TAO,  Function value: 0.0226818,  Residual: 6.03733e-05 
 11 TAO,  Function value: 0.022566,  Residual: 5.22929e-05 
 12 TAO,  Function value: 0.022415,  Residual: 5.2184e-05 
 13 TAO,  Function value: 0.022196,  Residual: 4.92898e-05 
 14 TAO,  Function value: 0.0220016,  Residual: 6.51149e-05 
 15 TAO,  Function value: 0.0219032,  Residual: 6.87138e-05 
 16 TAO,  Function value: 0.021827,  Residual: 5.89883e-05 
 17 TAO,  Function value: 0.0218199,  Residual: 6.36882e-05 
 18 TAO,  Function value: 0.0217864,  Residual: 5.81489e-05 
 19 TAO,  Function value: 0.0217292,  Residual: 5.65292e-05 
 20 TAO,  Function value: 0.021603,  Residual: 4.68468e-05 
 21 TAO,  Function value: 0.0215103,  Residual: 3.80772e-05 
 22 TAO,  Function value: 0.0214399,  Residual: 3.54887e-05 
 23 TAO,  Function value: 0.0213545,  Residual: 3.42294e-05 
 24 TAO,  Function value: 0.0212974,  Residual: 3.09319e-05 
 25 TAO,  Function value: 0.0212622,  Residual: 2.90191e-05 
 26 TAO,  Function value: 0.0212225,  Residual: 2.86292e-05 
 27 TAO,  Function value: 0.0211932,  Residual: 2.95395e-05 
 28 TAO,  Function value: 0.021159,  Residual: 2.90637e-05 
 29 TAO,  Function value: 0.0211336,  Residual: 2.30886e-05 
 30 TAO,  Function value: 0.0211106,  Residual: 2.04573e-05 
 31 TAO,  Function value: 0.0210749,  Residual: 1.65708e-05 
