  Iteration information for myTAO_ solve.
  0 TAO,  Function value: 0.0298573,  Residual: 0.000456266 
  1 TAO,  Function value: 0.0295047,  Residual: 0.000321638 
  2 TAO,  Function value: 0.0287916,  Residual: 0.000203828 
  3 TAO,  Function value: 0.0278804,  Residual: 0.000140366 
  4 TAO,  Function value: 0.0264881,  Residual: 0.000113449 
  5 TAO,  Function value: 0.0246607,  Residual: 0.000137971 
  6 TAO,  Function value: 0.024594,  Residual: 0.000327784 
  7 TAO,  Function value: 0.0236926,  Residual: 0.000126606 
  8 TAO,  Function value: 0.0232891,  Residual: 8.3308e-05 
  9 TAO,  Function value: 0.0228967,  Residual: 6.83983e-05 
 10 TAO,  Function value: 0.0227009,  Residual: 5.89501e-05 
 11 TAO,  Function value: 0.0225742,  Residual: 5.12614e-05 
 12 TAO,  Function value: 0.0224262,  Residual: 5.02564e-05 
 13 TAO,  Function value: 0.0222382,  Residual: 4.67101e-05 
 14 TAO,  Function value: 0.0220638,  Residual: 5.39216e-05 
 15 TAO,  Function value: 0.0219763,  Residual: 7.5564e-05 
 16 TAO,  Function value: 0.0218975,  Residual: 5.81535e-05 
 17 TAO,  Function value: 0.0218936,  Residual: 6.25922e-05 
 18 TAO,  Function value: 0.0218527,  Residual: 5.61525e-05 
 19 TAO,  Function value: 0.0217988,  Residual: 5.47019e-05 
 20 TAO,  Function value: 0.0216826,  Residual: 4.80758e-05 
 21 TAO,  Function value: 0.0215859,  Residual: 3.76373e-05 
 22 TAO,  Function value: 0.0215334,  Residual: 3.62228e-05 
 23 TAO,  Function value: 0.0214536,  Residual: 3.21994e-05 
 24 TAO,  Function value: 0.0214092,  Residual: 3.21196e-05 
 25 TAO,  Function value: 0.0213772,  Residual: 3.13831e-05 
 26 TAO,  Function value: 0.0213322,  Residual: 3.24229e-05 
 27 TAO,  Function value: 0.0213118,  Residual: 2.89965e-05 
 28 TAO,  Function value: 0.0212863,  Residual: 2.65398e-05 
 29 TAO,  Function value: 0.0212231,  Residual: 2.04535e-05 
 30 TAO,  Function value: 0.0211899,  Residual: 2.41192e-05 
 31 TAO,  Function value: 0.021164,  Residual: 1.77418e-05 
 32 TAO,  Function value: 0.0211508,  Residual: 1.30002e-05 
 33 TAO,  Function value: 0.0211366,  Residual: 9.85656e-06 
 34 TAO,  Function value: 0.0211221,  Residual: 1.12354e-05 
 35 TAO,  Function value: 0.0211144,  Residual: 1.30673e-05 
 36 TAO,  Function value: 0.0211078,  Residual: 8.46283e-06 
 37 TAO,  Function value: 0.0211001,  Residual: 7.81242e-06 
 38 TAO,  Function value: 0.0210931,  Residual: 9.27994e-06 
 39 TAO,  Function value: 0.0210889,  Residual: 1.24154e-05 
 40 TAO,  Function value: 0.0210861,  Residual: 8.47441e-06 
 41 TAO,  Function value: 0.0210839,  Residual: 7.28923e-06 
 42 TAO,  Function value: 0.021079,  Residual: 7.64139e-06 
 43 TAO,  Function value: 0.0210752,  Residual: 7.83756e-06 
 44 TAO,  Function value: 0.0210729,  Residual: 7.38681e-06 
 45 TAO,  Function value: 0.0210697,  Residual: 5.62523e-06 
 46 TAO,  Function value: 0.021065,  Residual: 6.2776e-06 
 47 TAO,  Function value: 0.0210624,  Residual: 8.46691e-06 
 48 TAO,  Function value: 0.021062,  Residual: 7.46482e-06 
 49 TAO,  Function value: 0.0210616,  Residual: 7.09398e-06 
 50 TAO,  Function value: 0.0210588,  Residual: 5.82393e-06 
 51 TAO,  Function value: 0.0210529,  Residual: 7.42794e-06 
 52 TAO,  Function value: 0.0210519,  Residual: 1.11748e-05 
 53 TAO,  Function value: 0.0210495,  Residual: 6.46095e-06 
 54 TAO,  Function value: 0.0210475,  Residual: 4.86348e-06 
 55 TAO,  Function value: 0.021043,  Residual: 6.03102e-06 
 56 TAO,  Function value: 0.021042,  Residual: 8.46512e-06 
 57 TAO,  Function value: 0.0210409,  Residual: 6.75003e-06 
 58 TAO,  Function value: 0.0210385,  Residual: 4.7205e-06 
 59 TAO,  Function value: 0.0210351,  Residual: 6.42906e-06 
 60 TAO,  Function value: 0.0210333,  Residual: 7.14219e-06 
 61 TAO,  Function value: 0.0210317,  Residual: 6.5946e-06 
 62 TAO,  Function value: 0.0210288,  Residual: 4.86899e-06 
 63 TAO,  Function value: 0.0210259,  Residual: 6.88621e-06 
 64 TAO,  Function value: 0.0210252,  Residual: 6.68245e-06 
 65 TAO,  Function value: 0.0210252,  Residual: 6.67834e-06 
 66 TAO,  Function value: 0.0210251,  Residual: 0.000142608 
 67 TAO,  Function value: 0.0210219,  Residual: 0.000142235 
 68 TAO,  Function value: 0.0210214,  Residual: 0.000142176 
 69 TAO,  Function value: 0.0210197,  Residual: 0.000142076 
 70 TAO,  Function value: 0.0210192,  Residual: 0.000142046 
 71 TAO,  Function value: 0.0210167,  Residual: 0.000141874 
 72 TAO,  Function value: 0.0210149,  Residual: 1.25478e-05 
 73 TAO,  Function value: 0.0210124,  Residual: 7.85364e-06 
 74 TAO,  Function value: 0.0210106,  Residual: 9.93077e-06 
 75 TAO,  Function value: 0.0210097,  Residual: 1.17969e-05 
 76 TAO,  Function value: 0.0210093,  Residual: 1.03294e-05 
 77 TAO,  Function value: 0.0210092,  Residual: 1.02221e-05 
 78 TAO,  Function value: 0.0210078,  Residual: 0.000142632 
 79 TAO,  Function value: 0.0210049,  Residual: 8.21176e-06 
 80 TAO,  Function value: 0.0210043,  Residual: 1.69486e-05 
 81 TAO,  Function value: 0.0210029,  Residual: 0.000141394 
 82 TAO,  Function value: 0.0210017,  Residual: 0.000142001 
 83 TAO,  Function value: 0.0210013,  Residual: 4.63395e-06 
 84 TAO,  Function value: 0.0210005,  Residual: 1.53847e-05 
 85 TAO,  Function value: 0.0210005,  Residual: 9.59664e-06 
 86 TAO,  Function value: 0.0210005,  Residual: 0.000141641 
 87 TAO,  Function value: 0.0210005,  Residual: 0.000141632 
 88 TAO,  Function value: 0.0210002,  Residual: 8.28832e-06 
 89 TAO,  Function value: 0.0209997,  Residual: 6.07386e-06 
 90 TAO,  Function value: 0.0209997,  Residual: 6.013e-06 
 91 TAO,  Function value: 0.0209986,  Residual: 0.000142238 
 92 TAO,  Function value: 0.0209986,  Residual: 0.000142295 
 93 TAO,  Function value: 0.0209986,  Residual: 0.000141708 
 94 TAO,  Function value: 0.0209985,  Residual: 0.000141671 
 95 TAO,  Function value: 0.020998,  Residual: 1.23609e-05 
 96 TAO,  Function value: 0.0209954,  Residual: 2.91554e-05 
 97 TAO,  Function value: 0.0209954,  Residual: 9.84548e-06 
 98 TAO,  Function value: 0.0209954,  Residual: 0.00013984 
 99 TAO,  Function value: 0.0209953,  Residual: 0.000142188 
100 TAO,  Function value: 0.0209944,  Residual: 0.000140051 
101 TAO,  Function value: 0.0209944,  Residual: 0.000140047 
102 TAO,  Function value: 0.0209941,  Residual: 9.58458e-06 
103 TAO,  Function value: 0.0209933,  Residual: 4.16889e-05 
104 TAO,  Function value: 0.0209932,  Residual: 3.44578e-05 
105 TAO,  Function value: 0.0209932,  Residual: 8.62806e-06 
106 TAO,  Function value: 0.0209932,  Residual: 0.000138177 
107 TAO,  Function value: 0.0209932,  Residual: 0.000138159 
108 TAO,  Function value: 0.0209932,  Residual: 6.59459e-06 
109 TAO,  Function value: 0.0209932,  Residual: 6.58334e-06 
110 TAO,  Function value: 0.0209932,  Residual: 6.49916e-06 
111 TAO,  Function value: 0.0209928,  Residual: 0.000142166 
112 TAO,  Function value: 0.0209927,  Residual: 0.000142274 
113 TAO,  Function value: 0.0209927,  Residual: 0.000142274 
114 TAO,  Function value: 0.0209927,  Residual: 5.96063e-06 
115 TAO,  Function value: 0.0209927,  Residual: 4.13947e-05 
116 TAO,  Function value: 0.0209925,  Residual: 0.000125169 
117 TAO,  Function value: 0.0209924,  Residual: 7.8851e-05 
118 TAO,  Function value: 0.0209923,  Residual: 0.00013931 
119 TAO,  Function value: 0.0209923,  Residual: 8.26307e-05 
120 TAO,  Function value: 0.0209922,  Residual: 7.5609e-05 
121 TAO,  Function value: 0.0209921,  Residual: 4.1339e-05 
122 TAO,  Function value: 0.0209921,  Residual: 4.70913e-05 
123 TAO,  Function value: 0.0209921,  Residual: 3.11016e-06 
124 TAO,  Function value: 0.020992,  Residual: 0.000134344 
125 TAO,  Function value: 0.020992,  Residual: 0.000134341 
126 TAO,  Function value: 0.020992,  Residual: 2.96468e-06 
127 TAO,  Function value: 0.020992,  Residual: 4.70394e-05 
128 TAO,  Function value: 0.0209919,  Residual: 4.18452e-05 
129 TAO,  Function value: 0.0209918,  Residual: 4.69199e-05 
130 TAO,  Function value: 0.0209918,  Residual: 1.54463e-05 
131 TAO,  Function value: 0.0209918,  Residual: 0.000134804 
132 TAO,  Function value: 0.0209917,  Residual: 3.6117e-06 
133 TAO,  Function value: 0.0209917,  Residual: 3.58208e-06 
134 TAO,  Function value: 0.0209915,  Residual: 0.000142311 
135 TAO,  Function value: 0.0209914,  Residual: 2.08145e-06 
136 TAO,  Function value: 0.0209914,  Residual: 0.000142307 
137 TAO,  Function value: 0.0209914,  Residual: 0.000142304 
138 TAO,  Function value: 0.0209913,  Residual: 0.000142081 
139 TAO,  Function value: 0.0209885,  Residual: 1.42693e-05 
140 TAO,  Function value: 0.0209885,  Residual: 1.34732e-05 
141 TAO,  Function value: 0.0209884,  Residual: 1.30625e-05 
142 TAO,  Function value: 0.0209883,  Residual: 8.3285e-06 
143 TAO,  Function value: 0.020988,  Residual: 5.06651e-06 
144 TAO,  Function value: 0.0209871,  Residual: 8.35222e-06 
145 TAO,  Function value: 0.0209862,  Residual: 5.85821e-06 
146 TAO,  Function value: 0.0209852,  Residual: 7.84049e-06 
147 TAO,  Function value: 0.0209844,  Residual: 7.56511e-06 
148 TAO,  Function value: 0.0209839,  Residual: 8.06514e-06 
149 TAO,  Function value: 0.0209834,  Residual: 6.78525e-06 
150 TAO,  Function value: 0.0209833,  Residual: 5.98535e-06 
151 TAO,  Function value: 0.0209826,  Residual: 5.60574e-06 
152 TAO,  Function value: 0.0209819,  Residual: 5.40757e-06 
153 TAO,  Function value: 0.0209811,  Residual: 6.26114e-06 
154 TAO,  Function value: 0.0209807,  Residual: 6.87507e-06 
155 TAO,  Function value: 0.0209804,  Residual: 6.61243e-06 
156 TAO,  Function value: 0.0209802,  Residual: 6.5503e-06 
157 TAO,  Function value: 0.0209796,  Residual: 6.62431e-06 
158 TAO,  Function value: 0.0209791,  Residual: 7.37202e-06 
159 TAO,  Function value: 0.0209787,  Residual: 6.50278e-06 
160 TAO,  Function value: 0.0209784,  Residual: 6.28511e-06 
161 TAO,  Function value: 0.0209778,  Residual: 5.95965e-06 
162 TAO,  Function value: 0.0209773,  Residual: 5.74943e-06 
163 TAO,  Function value: 0.0209768,  Residual: 5.3017e-06 
164 TAO,  Function value: 0.0209764,  Residual: 4.76736e-06 
165 TAO,  Function value: 0.020976,  Residual: 4.50089e-06 
166 TAO,  Function value: 0.0209756,  Residual: 4.59623e-06 
167 TAO,  Function value: 0.0209753,  Residual: 4.17627e-06 
168 TAO,  Function value: 0.0209751,  Residual: 3.92839e-06 
169 TAO,  Function value: 0.0209749,  Residual: 3.86374e-06 
170 TAO,  Function value: 0.0209747,  Residual: 3.96991e-06 
171 TAO,  Function value: 0.0209744,  Residual: 4.17726e-06 
172 TAO,  Function value: 0.0209741,  Residual: 4.15293e-06 
173 TAO,  Function value: 0.0209739,  Residual: 4.2902e-06 
174 TAO,  Function value: 0.0209736,  Residual: 4.79099e-06 
175 TAO,  Function value: 0.0209734,  Residual: 5.02385e-06 
176 TAO,  Function value: 0.0209733,  Residual: 5.0083e-06 
177 TAO,  Function value: 0.0209731,  Residual: 5.14808e-06 
178 TAO,  Function value: 0.0209729,  Residual: 5.38113e-06 
179 TAO,  Function value: 0.0209726,  Residual: 5.85685e-06 
180 TAO,  Function value: 0.0209725,  Residual: 6.21591e-06 
181 TAO,  Function value: 0.0209725,  Residual: 6.29578e-06 
182 TAO,  Function value: 0.0209725,  Residual: 6.18724e-06 
183 TAO,  Function value: 0.0209724,  Residual: 6.142e-06 
184 TAO,  Function value: 0.0209722,  Residual: 6.02053e-06 
185 TAO,  Function value: 0.0209718,  Residual: 5.68179e-06 
186 TAO,  Function value: 0.0209715,  Residual: 5.63082e-06 
187 TAO,  Function value: 0.0209711,  Residual: 4.94799e-06 
188 TAO,  Function value: 0.020971,  Residual: 4.79718e-06 
189 TAO,  Function value: 0.0209708,  Residual: 4.63186e-06 
190 TAO,  Function value: 0.0209706,  Residual: 4.76466e-06 
191 TAO,  Function value: 0.0209704,  Residual: 4.49829e-06 
192 TAO,  Function value: 0.0209701,  Residual: 4.4618e-06 
