  Iteration information for myTAO_ solve.
  0 TAO,  Function value: 0.0293415,  Residual: 0.000449995 
  1 TAO,  Function value: 0.0289987,  Residual: 0.000316583 
  2 TAO,  Function value: 0.0283065,  Residual: 0.000201431 
  3 TAO,  Function value: 0.0273896,  Residual: 0.000136585 
  4 TAO,  Function value: 0.0259402,  Residual: 0.000107288 
  5 TAO,  Function value: 0.0245853,  Residual: 0.00033966 
  6 TAO,  Function value: 0.023839,  Residual: 9.34907e-05 
  7 TAO,  Function value: 0.0236339,  Residual: 0.000100228 
  8 TAO,  Function value: 0.0231629,  Residual: 0.000177586 
  9 TAO,  Function value: 0.0228104,  Residual: 7.54458e-05 
 10 TAO,  Function value: 0.0226443,  Residual: 6.91341e-05 
 11 TAO,  Function value: 0.0223941,  Residual: 8.19548e-05 
 12 TAO,  Function value: 0.0221744,  Residual: 6.44367e-05 
 13 TAO,  Function value: 0.0220082,  Residual: 6.27674e-05 
 14 TAO,  Function value: 0.0218563,  Residual: 5.69329e-05 
 15 TAO,  Function value: 0.0217264,  Residual: 5.97638e-05 
 16 TAO,  Function value: 0.0216277,  Residual: 5.10209e-05 
 17 TAO,  Function value: 0.0215265,  Residual: 4.34651e-05 
 18 TAO,  Function value: 0.0214154,  Residual: 4.48024e-05 
 19 TAO,  Function value: 0.0212881,  Residual: 3.92889e-05 
 20 TAO,  Function value: 0.0211413,  Residual: 3.35769e-05 
 21 TAO,  Function value: 0.0210077,  Residual: 5.18275e-05 
 22 TAO,  Function value: 0.0208946,  Residual: 3.21861e-05 
 23 TAO,  Function value: 0.0208306,  Residual: 3.05826e-05 
 24 TAO,  Function value: 0.0207159,  Residual: 3.46625e-05 
 25 TAO,  Function value: 0.0206345,  Residual: 3.93278e-05 
 26 TAO,  Function value: 0.0205963,  Residual: 3.19927e-05 
 27 TAO,  Function value: 0.0205434,  Residual: 2.42166e-05 
 28 TAO,  Function value: 0.0204987,  Residual: 2.57592e-05 
 29 TAO,  Function value: 0.0204401,  Residual: 2.02035e-05 
 30 TAO,  Function value: 0.020399,  Residual: 1.71658e-05 
 31 TAO,  Function value: 0.0203616,  Residual: 1.58482e-05 
