  Iteration information for myTAO_ solve.
  0 TAO,  Function value: 0.0250744,  Residual: 0.000462174 
  1 TAO,  Function value: 0.0247127,  Residual: 0.000324613 
  2 TAO,  Function value: 0.0239928,  Residual: 0.000198062 
  3 TAO,  Function value: 0.0231594,  Residual: 0.000125711 
  4 TAO,  Function value: 0.0221892,  Residual: 8.07448e-05 
  5 TAO,  Function value: 0.0212715,  Residual: 6.57373e-05 
  6 TAO,  Function value: 0.0206104,  Residual: 0.000207115 
  7 TAO,  Function value: 0.020048,  Residual: 6.48096e-05 
  8 TAO,  Function value: 0.0198582,  Residual: 5.97062e-05 
  9 TAO,  Function value: 0.0195211,  Residual: 6.91498e-05 
 10 TAO,  Function value: 0.0193248,  Residual: 4.37427e-05 
 11 TAO,  Function value: 0.0192613,  Residual: 4.02899e-05 
 12 TAO,  Function value: 0.0191716,  Residual: 3.55502e-05 
 13 TAO,  Function value: 0.0190485,  Residual: 4.004e-05 
 14 TAO,  Function value: 0.0189705,  Residual: 3.61559e-05 
 15 TAO,  Function value: 0.018888,  Residual: 2.76386e-05 
 16 TAO,  Function value: 0.0188128,  Residual: 3.14942e-05 
 17 TAO,  Function value: 0.0187259,  Residual: 2.49041e-05 
 18 TAO,  Function value: 0.0186664,  Residual: 2.95924e-05 
 19 TAO,  Function value: 0.018601,  Residual: 2.72175e-05 
 20 TAO,  Function value: 0.0185739,  Residual: 2.92733e-05 
 21 TAO,  Function value: 0.0185372,  Residual: 2.49512e-05 
 22 TAO,  Function value: 0.0185067,  Residual: 2.72553e-05 
 23 TAO,  Function value: 0.0184679,  Residual: 2.06763e-05 
 24 TAO,  Function value: 0.0184433,  Residual: 1.63581e-05 
 25 TAO,  Function value: 0.0184286,  Residual: 1.71219e-05 
 26 TAO,  Function value: 0.0183914,  Residual: 1.26989e-05 
 27 TAO,  Function value: 0.0183794,  Residual: 1.29225e-05 
 28 TAO,  Function value: 0.0183685,  Residual: 1.15708e-05 
 29 TAO,  Function value: 0.0183599,  Residual: 9.02665e-06 
 30 TAO,  Function value: 0.018348,  Residual: 8.99474e-06 
 31 TAO,  Function value: 0.0183387,  Residual: 6.46875e-06 
 32 TAO,  Function value: 0.0183314,  Residual: 5.32061e-06 
 33 TAO,  Function value: 0.0183257,  Residual: 5.07895e-06 
 34 TAO,  Function value: 0.0183228,  Residual: 6.09424e-06 
 35 TAO,  Function value: 0.0183214,  Residual: 5.09112e-06 
 36 TAO,  Function value: 0.0183193,  Residual: 4.1618e-06 
 37 TAO,  Function value: 0.0183148,  Residual: 4.25072e-06 
 38 TAO,  Function value: 0.0183119,  Residual: 4.94135e-06 
 39 TAO,  Function value: 0.0183104,  Residual: 4.64179e-06 
 40 TAO,  Function value: 0.018309,  Residual: 3.88628e-06 
 41 TAO,  Function value: 0.0183065,  Residual: 4.00083e-06 
 42 TAO,  Function value: 0.0183038,  Residual: 4.79061e-06 
 43 TAO,  Function value: 0.0183015,  Residual: 5.62516e-06 
 44 TAO,  Function value: 0.0183005,  Residual: 4.96746e-06 
 45 TAO,  Function value: 0.018299,  Residual: 4.24592e-06 
 46 TAO,  Function value: 0.0182967,  Residual: 4.23401e-06 
 47 TAO,  Function value: 0.0182955,  Residual: 5.49148e-06 
 48 TAO,  Function value: 0.0182938,  Residual: 4.70297e-06 
 49 TAO,  Function value: 0.0182913,  Residual: 3.46289e-06 
