  Iteration information for myTAO_ solve.
  0 TAO,  Function value: 0.0220577,  Residual: 0.000472729 
  1 TAO,  Function value: 0.0216776,  Residual: 0.000334521 
  2 TAO,  Function value: 0.0208954,  Residual: 0.000202271 
  3 TAO,  Function value: 0.0199925,  Residual: 0.000127103 
  4 TAO,  Function value: 0.0189921,  Residual: 7.26087e-05 
  5 TAO,  Function value: 0.0182654,  Residual: 4.96015e-05 
  6 TAO,  Function value: 0.0175396,  Residual: 4.98868e-05 
  7 TAO,  Function value: 0.0174476,  Residual: 0.000220897 
  8 TAO,  Function value: 0.017116,  Residual: 4.75728e-05 
  9 TAO,  Function value: 0.0170302,  Residual: 4.42984e-05 
 10 TAO,  Function value: 0.0168387,  Residual: 5.80319e-05 
 11 TAO,  Function value: 0.0167057,  Residual: 3.72899e-05 
 12 TAO,  Function value: 0.0166067,  Residual: 2.81031e-05 
 13 TAO,  Function value: 0.0165183,  Residual: 0.000128082 
 14 TAO,  Function value: 0.0164771,  Residual: 2.8669e-05 
 15 TAO,  Function value: 0.0164746,  Residual: 2.74446e-05 
 16 TAO,  Function value: 0.0164057,  Residual: 2.31333e-05 
 17 TAO,  Function value: 0.0163117,  Residual: 2.51186e-05 
 18 TAO,  Function value: 0.0162779,  Residual: 2.13576e-05 
 19 TAO,  Function value: 0.0162396,  Residual: 1.62038e-05 
 20 TAO,  Function value: 0.0161959,  Residual: 1.4099e-05 
 21 TAO,  Function value: 0.0161641,  Residual: 1.42178e-05 
 22 TAO,  Function value: 0.0161492,  Residual: 1.52537e-05 
 23 TAO,  Function value: 0.0161458,  Residual: 1.11719e-05 
 24 TAO,  Function value: 0.0161383,  Residual: 1.04298e-05 
 25 TAO,  Function value: 0.0161153,  Residual: 8.24087e-06 
 26 TAO,  Function value: 0.016105,  Residual: 1.01914e-05 
 27 TAO,  Function value: 0.0160968,  Residual: 5.93743e-06 
 28 TAO,  Function value: 0.0160924,  Residual: 5.93791e-06 
 29 TAO,  Function value: 0.0160845,  Residual: 8.47051e-06 
