  Iteration information for myTAO_ solve.
  0 TAO,  Function value: 0.0326161,  Residual: 0.000450923 
  1 TAO,  Function value: 0.0322705,  Residual: 0.000320668 
  2 TAO,  Function value: 0.0315384,  Residual: 0.000211546 
  3 TAO,  Function value: 0.0304604,  Residual: 0.000154001 
  4 TAO,  Function value: 0.0284829,  Residual: 0.000134945 
  5 TAO,  Function value: 0.0267884,  Residual: 0.000161592 
  6 TAO,  Function value: 0.0260289,  Residual: 0.000153406 
  7 TAO,  Function value: 0.0253101,  Residual: 0.000128861 
  8 TAO,  Function value: 0.0248579,  Residual: 8.38781e-05 
  9 TAO,  Function value: 0.0246948,  Residual: 9.08639e-05 
 10 TAO,  Function value: 0.0244504,  Residual: 7.02516e-05 
 11 TAO,  Function value: 0.0241391,  Residual: 7.20293e-05 
 12 TAO,  Function value: 0.0239147,  Residual: 9.87077e-05 
 13 TAO,  Function value: 0.0237405,  Residual: 7.6422e-05 
 14 TAO,  Function value: 0.0236512,  Residual: 0.000105226 
 15 TAO,  Function value: 0.023603,  Residual: 9.34411e-05 
 16 TAO,  Function value: 0.0234769,  Residual: 7.40108e-05 
 17 TAO,  Function value: 0.0233443,  Residual: 0.000162245 
 18 TAO,  Function value: 0.0232927,  Residual: 7.45441e-05 
 19 TAO,  Function value: 0.0232068,  Residual: 6.48886e-05 
 20 TAO,  Function value: 0.0229973,  Residual: 7.69385e-05 
 21 TAO,  Function value: 0.0228391,  Residual: 7.13876e-05 
 22 TAO,  Function value: 0.0226985,  Residual: 4.20669e-05 
 23 TAO,  Function value: 0.0226441,  Residual: 3.86738e-05 
 24 TAO,  Function value: 0.0225215,  Residual: 2.72146e-05 
 25 TAO,  Function value: 0.0224384,  Residual: 2.96252e-05 
 26 TAO,  Function value: 0.0224185,  Residual: 4.87453e-05 
 27 TAO,  Function value: 0.0223923,  Residual: 2.536e-05 
 28 TAO,  Function value: 0.0223829,  Residual: 2.78584e-05 
 29 TAO,  Function value: 0.0223531,  Residual: 2.10704e-05 
 30 TAO,  Function value: 0.0223274,  Residual: 1.81276e-05 
 31 TAO,  Function value: 0.0223029,  Residual: 1.87566e-05 
 32 TAO,  Function value: 0.0222844,  Residual: 1.70668e-05 
 33 TAO,  Function value: 0.0222701,  Residual: 1.76879e-05 
 34 TAO,  Function value: 0.0222475,  Residual: 1.66286e-05 
 35 TAO,  Function value: 0.0222288,  Residual: 1.66926e-05 
 36 TAO,  Function value: 0.0222145,  Residual: 1.51368e-05 
 37 TAO,  Function value: 0.0222046,  Residual: 1.54888e-05 
 38 TAO,  Function value: 0.0221934,  Residual: 1.49451e-05 
 39 TAO,  Function value: 0.0221758,  Residual: 1.48677e-05 
 40 TAO,  Function value: 0.0221584,  Residual: 1.52153e-05 
 41 TAO,  Function value: 0.0221442,  Residual: 1.32538e-05 
 42 TAO,  Function value: 0.0221341,  Residual: 1.22975e-05 
 43 TAO,  Function value: 0.0221271,  Residual: 1.13971e-05 
 44 TAO,  Function value: 0.0221211,  Residual: 1.09685e-05 
 45 TAO,  Function value: 0.0221116,  Residual: 8.97298e-06 
 46 TAO,  Function value: 0.0221038,  Residual: 8.11242e-06 
 47 TAO,  Function value: 0.022099,  Residual: 8.59503e-06 
 48 TAO,  Function value: 0.0220946,  Residual: 8.33052e-06 
 49 TAO,  Function value: 0.0220896,  Residual: 8.1088e-06 
 50 TAO,  Function value: 0.0220849,  Residual: 8.68238e-06 
 51 TAO,  Function value: 0.0220824,  Residual: 9.42823e-06 
 52 TAO,  Function value: 0.0220809,  Residual: 9.21716e-06 
 53 TAO,  Function value: 0.0220772,  Residual: 8.06994e-06 
 54 TAO,  Function value: 0.02207,  Residual: 7.5364e-06 
 55 TAO,  Function value: 0.0220674,  Residual: 9.64195e-06 
 56 TAO,  Function value: 0.0220632,  Residual: 7.94864e-06 
 57 TAO,  Function value: 0.0220586,  Residual: 6.81435e-06 
 58 TAO,  Function value: 0.0220546,  Residual: 1.03564e-05 
 59 TAO,  Function value: 0.0220539,  Residual: 1.44592e-05 
 60 TAO,  Function value: 0.0220536,  Residual: 1.02021e-05 
 61 TAO,  Function value: 0.0220481,  Residual: 7.91166e-06 
 62 TAO,  Function value: 0.0220385,  Residual: 1.00309e-05 
 63 TAO,  Function value: 0.0220328,  Residual: 1.10427e-05 
 64 TAO,  Function value: 0.0220242,  Residual: 9.02109e-06 
 65 TAO,  Function value: 0.0220146,  Residual: 8.36965e-06 
 66 TAO,  Function value: 0.0220118,  Residual: 9.38879e-06 
 67 TAO,  Function value: 0.022011,  Residual: 1.04303e-05 
 68 TAO,  Function value: 0.0220105,  Residual: 9.99699e-06 
 69 TAO,  Function value: 0.0220038,  Residual: 7.3903e-06 
 70 TAO,  Function value: 0.0219958,  Residual: 6.30585e-06 
 71 TAO,  Function value: 0.0219935,  Residual: 8.60744e-06 
 72 TAO,  Function value: 0.0219899,  Residual: 6.25687e-06 
 73 TAO,  Function value: 0.021986,  Residual: 5.1835e-06 
 74 TAO,  Function value: 0.021982,  Residual: 7.00229e-06 
 75 TAO,  Function value: 0.0219793,  Residual: 7.9643e-06 
 76 TAO,  Function value: 0.0219772,  Residual: 7.49407e-06 
 77 TAO,  Function value: 0.0219736,  Residual: 7.04287e-06 
 78 TAO,  Function value: 0.0219699,  Residual: 7.40878e-06 
 79 TAO,  Function value: 0.0219695,  Residual: 7.77739e-06 
 80 TAO,  Function value: 0.0219675,  Residual: 7.72555e-06 
 81 TAO,  Function value: 0.0219646,  Residual: 6.65342e-06 
 82 TAO,  Function value: 0.0219608,  Residual: 5.7606e-06 
 83 TAO,  Function value: 0.0219591,  Residual: 7.778e-06 
 84 TAO,  Function value: 0.0219583,  Residual: 7.5803e-06 
 85 TAO,  Function value: 0.0219553,  Residual: 5.3693e-06 
 86 TAO,  Function value: 0.0219519,  Residual: 4.97976e-06 
 87 TAO,  Function value: 0.0219493,  Residual: 5.63693e-06 
 88 TAO,  Function value: 0.0219473,  Residual: 5.85652e-06 
 89 TAO,  Function value: 0.0219445,  Residual: 3.85734e-06 
