  Iteration information for myTAO_ solve.
  0 TAO,  Function value: 0.0265827,  Residual: 0.000458154 
  1 TAO,  Function value: 0.0262277,  Residual: 0.000321387 
  2 TAO,  Function value: 0.0255244,  Residual: 0.000197402 
  3 TAO,  Function value: 0.0246971,  Residual: 0.00012822 
  4 TAO,  Function value: 0.0236497,  Residual: 8.86129e-05 
  5 TAO,  Function value: 0.0225086,  Residual: 7.64937e-05 
  6 TAO,  Function value: 0.0216374,  Residual: 8.22914e-05 
  7 TAO,  Function value: 0.0212298,  Residual: 8.63314e-05 
  8 TAO,  Function value: 0.0208474,  Residual: 7.79501e-05 
  9 TAO,  Function value: 0.0205477,  Residual: 5.36397e-05 
 10 TAO,  Function value: 0.0203859,  Residual: 5.05286e-05 
 11 TAO,  Function value: 0.0202308,  Residual: 3.74275e-05 
 12 TAO,  Function value: 0.0201072,  Residual: 3.88428e-05 
 13 TAO,  Function value: 0.0199785,  Residual: 3.68869e-05 
 14 TAO,  Function value: 0.0198648,  Residual: 3.26164e-05 
 15 TAO,  Function value: 0.0198006,  Residual: 3.46148e-05 
 16 TAO,  Function value: 0.0197713,  Residual: 4.03032e-05 
 17 TAO,  Function value: 0.0197385,  Residual: 3.48353e-05 
 18 TAO,  Function value: 0.0197374,  Residual: 3.69136e-05 
 19 TAO,  Function value: 0.0196887,  Residual: 3.06822e-05 
 20 TAO,  Function value: 0.0196302,  Residual: 2.67268e-05 
 21 TAO,  Function value: 0.0195639,  Residual: 2.39376e-05 
 22 TAO,  Function value: 0.0195195,  Residual: 2.12804e-05 
 23 TAO,  Function value: 0.0194829,  Residual: 2.3144e-05 
 24 TAO,  Function value: 0.0194441,  Residual: 2.58603e-05 
 25 TAO,  Function value: 0.0194278,  Residual: 2.39155e-05 
 26 TAO,  Function value: 0.0194229,  Residual: 3.07649e-05 
 27 TAO,  Function value: 0.0194072,  Residual: 2.14022e-05 
 28 TAO,  Function value: 0.0193967,  Residual: 2.08313e-05 
 29 TAO,  Function value: 0.0193609,  Residual: 1.63207e-05 
 30 TAO,  Function value: 0.0193217,  Residual: 1.35681e-05 
 31 TAO,  Function value: 0.0192963,  Residual: 1.22742e-05 
 32 TAO,  Function value: 0.0192814,  Residual: 1.05755e-05 
 33 TAO,  Function value: 0.0192715,  Residual: 9.03148e-06 
 34 TAO,  Function value: 0.0192585,  Residual: 9.06718e-06 
 35 TAO,  Function value: 0.0192442,  Residual: 9.89332e-06 
 36 TAO,  Function value: 0.0192355,  Residual: 8.78936e-06 
 37 TAO,  Function value: 0.0192325,  Residual: 7.734e-06 
 38 TAO,  Function value: 0.0192298,  Residual: 7.19081e-06 
 39 TAO,  Function value: 0.0192246,  Residual: 7.06378e-06 
 40 TAO,  Function value: 0.0192178,  Residual: 6.89123e-06 
 41 TAO,  Function value: 0.0192113,  Residual: 5.16366e-06 
 42 TAO,  Function value: 0.0192074,  Residual: 4.94233e-06 
 43 TAO,  Function value: 0.019205,  Residual: 5.12739e-06 
 44 TAO,  Function value: 0.0192034,  Residual: 5.04896e-06 
 45 TAO,  Function value: 0.0191998,  Residual: 4.60013e-06 
 46 TAO,  Function value: 0.0191951,  Residual: 6.29646e-06 
 47 TAO,  Function value: 0.0191937,  Residual: 7.32923e-06 
 48 TAO,  Function value: 0.0191937,  Residual: 7.30097e-06 
 49 TAO,  Function value: 0.0191924,  Residual: 6.82831e-06 
 50 TAO,  Function value: 0.0191876,  Residual: 5.60533e-06 
 51 TAO,  Function value: 0.0191824,  Residual: 6.51249e-06 
 52 TAO,  Function value: 0.0191767,  Residual: 5.94333e-06 
 53 TAO,  Function value: 0.0191714,  Residual: 6.02699e-06 
 54 TAO,  Function value: 0.0191686,  Residual: 7.46367e-06 
 55 TAO,  Function value: 0.0191686,  Residual: 7.42363e-06 
 56 TAO,  Function value: 0.0191669,  Residual: 6.44754e-06 
 57 TAO,  Function value: 0.0191625,  Residual: 0.000114847 
 58 TAO,  Function value: 0.0191621,  Residual: 6.69058e-06 
 59 TAO,  Function value: 0.0191619,  Residual: 5.73386e-06 
 60 TAO,  Function value: 0.0191618,  Residual: 8.21473e-06 
 61 TAO,  Function value: 0.0191618,  Residual: 8.26043e-06 
 62 TAO,  Function value: 0.0191618,  Residual: 7.82188e-06 
 63 TAO,  Function value: 0.0191617,  Residual: 0.000114654 
 64 TAO,  Function value: 0.0191604,  Residual: 0.000114692 
 65 TAO,  Function value: 0.0191599,  Residual: 1.82492e-05 
 66 TAO,  Function value: 0.0191597,  Residual: 1.57577e-05 
 67 TAO,  Function value: 0.0191594,  Residual: 8.37462e-06 
 68 TAO,  Function value: 0.0191594,  Residual: 1.18658e-05 
 69 TAO,  Function value: 0.0191591,  Residual: 5.2803e-06 
 70 TAO,  Function value: 0.0191591,  Residual: 5.16876e-06 
 71 TAO,  Function value: 0.019159,  Residual: 0.000114585 
 72 TAO,  Function value: 0.0191587,  Residual: 0.000114609 
 73 TAO,  Function value: 0.0191586,  Residual: 0.000114593 
 74 TAO,  Function value: 0.0191585,  Residual: 4.35669e-06 
 75 TAO,  Function value: 0.0191585,  Residual: 4.21393e-05 
 76 TAO,  Function value: 0.0191578,  Residual: 0.000101295 
 77 TAO,  Function value: 0.0191572,  Residual: 6.91738e-05 
 78 TAO,  Function value: 0.0191564,  Residual: 0.00011163 
 79 TAO,  Function value: 0.0191563,  Residual: 7.24703e-05 
 80 TAO,  Function value: 0.0191559,  Residual: 6.23753e-05 
